source_system,strategy_id,ticker,timeframe,signal_time,side,entry_type,entry_price_ref,stop_price,target_price,raw_score,normalized_score,confidence,risk_unit,reason_codes,metadata
A,unknown,EB,1D,2026-04-24,long,next_open,42.07,38.7044,46.277,0.903,0.903,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,EBBGF,1D,2026-04-24,long,next_open,42.07,38.7044,46.277,0.903,0.903,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,EBBNF,1D,2026-04-24,long,next_open,42.07,38.7044,46.277,0.903,0.903,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,ELPW,1D,2026-04-24,long,next_open,139.66,128.4872,153.626,0.945,0.9450000000000001,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,ELRA,1D,2026-04-24,long,next_open,139.66,128.4872,153.626,0.945,0.9450000000000001,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,ELRC,1D,2026-04-24,long,next_open,139.66,128.4872,153.626,0.945,0.9450000000000001,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,ELRE,1D,2026-04-24,long,next_open,139.66,128.4872,153.626,0.945,0.9450000000000001,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,EXPE,1D,2026-04-24,long,next_open,147.5688,135.7633,162.3257,0.953,0.9530000000000001,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,GBTC,1D,2026-04-24,long,next_open,33.2882,30.6251,36.617,0.983,0.983,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,HRB,1D,2026-04-24,long,next_open,234.25,215.51,257.675,0.729,0.729,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,HUT,1D,2026-04-24,long,next_open,12.6,11.592,13.86,0.882,0.882,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,INSM,1D,2026-04-24,long,next_open,29.94,27.5448,32.934,0.671,0.671,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,JLL,1D,2026-04-24,long,next_open,186.9,171.948,205.59,0.914,0.914,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,JLMI,1D,2026-04-24,long,next_open,186.9,171.948,205.59,0.914,0.914,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KIM,1D,2026-04-24,long,next_open,34.6008,31.8328,38.0609,0.714,0.714,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KMX,1D,2026-04-24,long,next_open,34.6008,31.8328,38.0609,0.714,0.714,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KSS,1D,2026-04-24,long,next_open,34.6008,31.8328,38.0609,0.714,0.714,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KSU,1D,2026-04-24,long,next_open,34.6008,31.8328,38.0609,0.714,0.714,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,NXT,1D,2026-04-24,long,next_open,47.42,43.6264,52.162,0.935,0.935,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,OLED,1D,2026-04-24,long,next_open,182.5256,167.9236,200.7782,0.691,0.691,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,PDD,1D,2026-04-24,long,next_open,145.64,133.9888,160.204,0.952,0.9519999999999998,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,TEAM,1D,2026-04-24,long,next_open,226.67,208.5364,249.337,0.707,0.707,0.5,,,{'origin': 'combo_pipeline'}
B,preset_01,MSFT,1D,2026-04-24T00:00:00,long,next_open,427.277349,405.91348155,491.36895135,0.0,50.0,0.5,,ll_hl_confirmed|fib_0618_break_between_hl_and_swing_high|rel_volume_min,"{'origin': 'preset_pack', 'original_signal_date': '2024-10-22', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_01,MSFT,1D,2026-04-24T00:00:00,long,next_open,427.277349,405.91348155,491.36895135,0.0,50.0,0.5,,ll_hl_confirmed|fib_0618_break_between_hl_and_swing_high|rel_volume_min,"{'origin': 'preset_pack', 'original_signal_date': '2024-10-22', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_02,MSFT,1D,2026-04-24T00:00:00,long,next_open,427.277349,405.91348155,491.36895135,0.0,50.0,0.5,,ll_hl_confirmed|fib_0618_break_between_hl_and_swing_high|second_pivot_break_swing_high,"{'origin': 'preset_pack', 'original_signal_date': '2024-10-22', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_02,MSFT,1D,2026-04-24T00:00:00,long,next_open,427.277349,405.91348155,491.36895135,0.0,50.0,0.5,,ll_hl_confirmed|fib_0618_break_between_hl_and_swing_high|second_pivot_break_swing_high,"{'origin': 'preset_pack', 'original_signal_date': '2024-10-22', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_03,MSFT,1D,2026-04-24T00:00:00,long,next_open,427.277349,405.91348155,491.36895135,0.0,50.0,0.5,,downtrend_line_break|rel_volume_min,"{'origin': 'preset_pack', 'original_signal_date': '2024-10-22', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_03,MSFT,1D,2026-04-24T00:00:00,long,next_open,427.277349,405.91348155,491.36895135,0.0,50.0,0.5,,downtrend_line_break|rel_volume_min,"{'origin': 'preset_pack', 'original_signal_date': '2024-10-22', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_04,MSFT,1D,2026-04-24T00:00:00,long,next_open,427.277349,405.91348155,491.36895135,0.0,50.0,0.5,,downtrend_line_break|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-10-22', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_04,MSFT,1D,2026-04-24T00:00:00,long,next_open,427.277349,405.91348155,491.36895135,0.0,50.0,0.5,,downtrend_line_break|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-10-22', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,MSFT,1D,2026-04-24T00:00:00,long,next_open,415.01963,394.2686485,477.27257449999996,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-04-04', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,MSFT,1D,2026-04-24T00:00:00,long,next_open,415.01963,394.2686485,477.27257449999996,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-07-05', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,MSFT,1D,2026-04-24T00:00:00,long,next_open,415.01963,394.2686485,477.27257449999996,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-07-11', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,MSFT,1D,2026-04-24T00:00:00,long,next_open,415.01963,394.2686485,477.27257449999996,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-07-15', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,MSFT,1D,2026-04-24T00:00:00,long,next_open,415.01963,394.2686485,477.27257449999996,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-09-12', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,MSFT,1D,2026-04-24T00:00:00,long,next_open,415.01963,394.2686485,477.27257449999996,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-11-27', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,MSFT,1D,2026-04-24T00:00:00,long,next_open,415.01963,394.2686485,477.27257449999996,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-12-02', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,MSFT,1D,2026-04-24T00:00:00,long,next_open,415.01963,394.2686485,477.27257449999996,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-04-05', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,MSFT,1D,2026-04-24T00:00:00,long,next_open,415.01963,394.2686485,477.27257449999996,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-04-09', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,MSFT,1D,2026-04-24T00:00:00,long,next_open,415.01963,394.2686485,477.27257449999996,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-05-24', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,MSFT,1D,2026-04-24T00:00:00,long,next_open,415.01963,394.2686485,477.27257449999996,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-05-29', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,MSFT,1D,2026-04-24T00:00:00,long,next_open,415.01963,394.2686485,477.27257449999996,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-06-11', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,MSFT,1D,2026-04-24T00:00:00,long,next_open,415.01963,394.2686485,477.27257449999996,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-07-01', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,MSFT,1D,2026-04-24T00:00:00,long,next_open,415.01963,394.2686485,477.27257449999996,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-12-05', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,MSFT,1D,2026-04-24T00:00:00,long,next_open,414.308113,393.59270734999996,476.45432994999993,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-03-14', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,MSFT,1D,2026-04-24T00:00:00,long,next_open,414.308113,393.59270734999996,476.45432994999993,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-04-25', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,MSFT,1D,2026-04-24T00:00:00,long,next_open,414.308113,393.59270734999996,476.45432994999993,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-06-21', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,MSFT,1D,2026-04-24T00:00:00,long,next_open,414.308113,393.59270734999996,476.45432994999993,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-10-22', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,MSFT,1D,2026-04-24T00:00:00,long,next_open,414.308113,393.59270734999996,476.45432994999993,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-12-20', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,MSFT,1D,2026-04-24T00:00:00,long,next_open,414.308113,393.59270734999996,476.45432994999993,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-03-14', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,MSFT,1D,2026-04-24T00:00:00,long,next_open,414.308113,393.59270734999996,476.45432994999993,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-04-25', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,MSFT,1D,2026-04-24T00:00:00,long,next_open,414.308113,393.59270734999996,476.45432994999993,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-06-21', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,MSFT,1D,2026-04-24T00:00:00,long,next_open,414.308113,393.59270734999996,476.45432994999993,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-10-22', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_07,MSFT,1D,2026-04-24T00:00:00,long,next_open,414.308113,393.59270734999996,476.45432994999993,0.0,50.0,0.5,,rel_volume_min|power_play,"{'origin': 'preset_pack', 'original_signal_date': '2024-12-20', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_02,NVDA,1D,2026-04-24T00:00:00,long,next_open,122.100203,115.99519285,140.41523345,0.0,50.0,0.5,,ll_hl_confirmed|fib_0618_break_between_hl_and_swing_high|second_pivot_break_swing_high,"{'origin': 'preset_pack', 'original_signal_date': '2024-09-24', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_02,NVDA,1D,2026-04-24T00:00:00,long,next_open,122.100203,115.99519285,140.41523345,0.0,50.0,0.5,,ll_hl_confirmed|fib_0618_break_between_hl_and_swing_high|second_pivot_break_swing_high,"{'origin': 'preset_pack', 'original_signal_date': '2024-09-24', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,NVDA,1D,2026-04-24T00:00:00,long,next_open,89.620849,85.13980655,103.06397635,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-03-13', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
B,preset_06,NVDA,1D,2026-04-24T00:00:00,long,next_open,89.620849,85.13980655,103.06397635,0.0,50.0,0.5,,rs_1m_percentile_min|trend_base,"{'origin': 'preset_pack', 'original_signal_date': '2024-05-03', 'execution_date': '2026-04-24', 'date_aligned': True, 'stop_source': 'pct_fallback', 'atr_used': None}"
