source_system,strategy_id,ticker,timeframe,signal_time,side,entry_type,entry_price_ref,stop_price,target_price,raw_score,normalized_score,confidence,risk_unit,reason_codes,metadata
A,unknown,LDOS,1D,2024-11-25,long,next_open,21.4925,19.7731,23.6417,0.666,0.666,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,LECO,1D,2024-11-25,long,next_open,216.0193,198.7378,237.6213,0.635,0.635,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,LLL,1D,2024-11-25,long,next_open,456.4617,419.9448,502.1079,0.678,0.678,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,LNC,1D,2024-11-25,long,next_open,456.4617,419.9448,502.1079,0.678,0.678,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,LNG,1D,2024-11-25,long,next_open,215.6521,198.3999,237.2173,0.725,0.725,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,LNT,1D,2024-11-25,long,next_open,456.4617,419.9448,502.1079,0.678,0.678,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,LOAR,1D,2024-11-25,long,next_open,89.06,81.9352,97.966,0.747,0.747,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,MLM,1D,2024-11-25,long,next_open,599.7401,551.7608,659.7141,0.62,0.62,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,MS,1D,2024-11-25,long,next_open,129.3065,118.962,142.2371,0.85,0.8500000000000001,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,MTB,1D,2024-11-25,long,next_open,214.0968,196.969,235.5065,0.85,0.8500000000000001,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,NDAQ,1D,2024-11-25,long,next_open,80.289,73.8659,88.318,0.624,0.624,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,NFLX,1D,2024-11-25,long,next_open,86.559,79.6343,95.2149,0.769,0.769,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,NOW,1D,2024-11-25,long,next_open,210.542,193.6986,231.5962,0.794,0.794,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,NTNX,1D,2024-11-25,long,next_open,72.8,66.976,80.08,0.657,0.657,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,ODFL,1D,2024-11-25,long,next_open,223.2356,205.3768,245.5592,0.7,0.7,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,OKE,1D,2024-11-25,long,next_open,104.5125,96.1515,114.9638,0.777,0.777,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,ORCL,1D,2024-11-25,long,next_open,185.6479,170.796,204.2127,0.878,0.878,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,OWL,1D,2024-11-25,long,next_open,22.8684,21.0389,25.1552,0.916,0.9159999999999999,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,PEG,1D,2024-11-25,long,next_open,89.4984,82.3385,98.4482,0.681,0.681,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,PH,1D,2024-11-25,long,next_open,696.3203,640.6147,765.9523,0.719,0.719,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,PNR,1D,2024-11-25,long,next_open,106.5877,98.0607,117.2465,0.776,0.776,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,PTC,1D,2024-11-25,long,next_open,200.59,184.5428,220.649,0.593,0.593,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,PWR,1D,2024-11-25,long,next_open,342.4194,315.0259,376.6613,0.806,0.8060000000000002,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,RCL,1D,2024-11-25,long,next_open,236.7908,217.8476,260.4699,0.939,0.939,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,RJF,1D,2024-11-25,long,next_open,164.3385,151.1914,180.7724,0.924,0.924,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,RS,1D,2024-11-25,long,next_open,316.3716,291.0618,348.0087,0.616,0.616,0.5,,,{'origin': 'combo_pipeline'}
