source_system,strategy_id,ticker,timeframe,signal_time,side,entry_type,entry_price_ref,stop_price,target_price,raw_score,normalized_score,confidence,risk_unit,reason_codes,metadata
B,preset_06,MSFT,1D,2024-09-12T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_02,NVDA,1D,2024-09-24T00:00:00,long,next_open,0.0,,,-1.019,0.0,0.5,,ll_hl_confirmed|fib_0618_break_between_hl_and_swing_high|second_pivot_break_swing_high,{'origin': 'preset_pack'}
B,preset_02,NVDA,1D,2024-09-24T00:00:00,long,next_open,0.0,,,-1.019,0.0,0.5,,ll_hl_confirmed|fib_0618_break_between_hl_and_swing_high|second_pivot_break_swing_high,{'origin': 'preset_pack'}
B,preset_06,NVDA,1D,2024-10-02T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,NVDA,1D,2024-10-02T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_01,MSFT,1D,2024-10-22T00:00:00,long,next_open,0.0,,,-1.019,0.0,0.5,,ll_hl_confirmed|fib_0618_break_between_hl_and_swing_high|rel_volume_min,{'origin': 'preset_pack'}
B,preset_01,MSFT,1D,2024-10-22T00:00:00,long,next_open,0.0,,,-1.019,0.0,0.5,,ll_hl_confirmed|fib_0618_break_between_hl_and_swing_high|rel_volume_min,{'origin': 'preset_pack'}
B,preset_02,MSFT,1D,2024-10-22T00:00:00,long,next_open,0.0,,,-1.019,0.0,0.5,,ll_hl_confirmed|fib_0618_break_between_hl_and_swing_high|second_pivot_break_swing_high,{'origin': 'preset_pack'}
B,preset_02,MSFT,1D,2024-10-22T00:00:00,long,next_open,0.0,,,-1.019,0.0,0.5,,ll_hl_confirmed|fib_0618_break_between_hl_and_swing_high|second_pivot_break_swing_high,{'origin': 'preset_pack'}
B,preset_03,MSFT,1D,2024-10-22T00:00:00,long,next_open,0.0,,,-1.019,0.0,0.5,,downtrend_line_break|rel_volume_min,{'origin': 'preset_pack'}
B,preset_03,MSFT,1D,2024-10-22T00:00:00,long,next_open,0.0,,,-1.019,0.0,0.5,,downtrend_line_break|rel_volume_min,{'origin': 'preset_pack'}
B,preset_04,MSFT,1D,2024-10-22T00:00:00,long,next_open,0.0,,,-1.019,0.0,0.5,,downtrend_line_break|power_play,{'origin': 'preset_pack'}
B,preset_04,MSFT,1D,2024-10-22T00:00:00,long,next_open,0.0,,,-1.019,0.0,0.5,,downtrend_line_break|power_play,{'origin': 'preset_pack'}
B,preset_07,MSFT,1D,2024-10-22T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
B,preset_07,MSFT,1D,2024-10-22T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
B,preset_06,NVDA,1D,2024-11-12T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,MSFT,1D,2024-11-27T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,MSFT,1D,2024-12-02T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_06,MSFT,1D,2024-12-05T00:00:00,long,next_open,0.0,,,-0.228798,38.5601,0.5,,rs_1m_percentile_min|trend_base,{'origin': 'preset_pack'}
B,preset_07,MSFT,1D,2024-12-20T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
B,preset_07,MSFT,1D,2024-12-20T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
B,preset_07,NVDA,1D,2024-12-20T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
B,preset_07,NVDA,1D,2024-12-20T00:00:00,long,next_open,0.0,,,-0.300871,34.95645,0.5,,rel_volume_min|power_play,{'origin': 'preset_pack'}
A,combo_pure_momentum,AA,1D,2026-03-13,long,next_open,63.59,58.5028,69.949,0.829,0.8289999999999998,0.5,2878.0,,{'origin': 'combo_pipeline'}
A,combo_pure_momentum,ADM,1D,2026-03-13,long,next_open,71.98,66.2216,79.178,0.735,0.735,0.5,2878.0,,{'origin': 'combo_pipeline'}
A,combo_pure_momentum,AEP,1D,2026-03-13,long,next_open,133.61,122.9212,146.971,0.693,0.693,0.5,2878.0,,{'origin': 'combo_pipeline'}
A,combo_pure_momentum,ALM,1D,2026-03-13,long,next_open,19.675,18.101,21.6425,0.894,0.894,0.5,2878.0,,{'origin': 'combo_pipeline'}
A,combo_pure_momentum,AM,1D,2026-03-13,long,next_open,23.14,21.2888,25.454,0.785,0.7850000000000001,0.5,2878.0,,{'origin': 'combo_pipeline'}
A,combo_pullback_entry,BGC,1D,2026-03-13,long,next_open,9.57,8.8044,10.527,0.59,0.59,0.5,2878.0,,{'origin': 'combo_pipeline'}
A,combo_pure_momentum,BGC,1D,2026-03-13,long,next_open,9.57,8.8044,10.527,0.59,0.59,0.5,2878.0,,{'origin': 'combo_pipeline'}
A,combo_pure_momentum,BP,1D,2026-03-13,long,next_open,42.67,39.2564,46.937,0.749,0.749,0.5,2878.0,,{'origin': 'combo_pipeline'}
A,combo_pure_momentum,CE,1D,2026-03-13,long,next_open,57.74,53.1208,63.514,0.909,0.909,0.5,2878.0,,{'origin': 'combo_pipeline'}
A,combo_pure_momentum,CME,1D,2026-03-13,long,next_open,311.4,286.488,342.54,0.664,0.664,0.5,2878.0,,{'origin': 'combo_pipeline'}
A,combo_pure_momentum,CNQ,1D,2026-03-13,long,next_open,48.44,44.5648,53.284,0.844,0.844,0.5,2878.0,,{'origin': 'combo_pipeline'}
A,combo_pure_momentum,COP,1D,2026-03-13,long,next_open,121.89,112.1388,134.079,0.782,0.782,0.5,2878.0,,{'origin': 'combo_pipeline'}
A,combo_pure_momentum,CTVA,1D,2026-03-13,long,next_open,79.21,72.8732,87.131,0.74,0.74,0.5,2878.0,,{'origin': 'combo_pipeline'}
A,combo_pure_momentum,CVX,1D,2026-03-13,long,next_open,196.82,181.0744,216.502,0.799,0.799,0.5,2878.0,,{'origin': 'combo_pipeline'}
A,combo_pure_momentum,DFTX,1D,2026-03-13,long,next_open,18.06,16.6152,19.866,0.847,0.847,0.5,2878.0,,{'origin': 'combo_pipeline'}
A,combo_pure_momentum,DUK,1D,2026-03-13,long,next_open,133.15,122.498,146.465,0.661,0.661,0.5,2878.0,,{'origin': 'combo_pipeline'}
