day_idx,col_idx,exit_type_code,exit_price,shares,pnl,entry_day_idx,initial_risk,context_rvol,context_adr,context_volume,exit_date,entry_date,symbol,exit_phase,monetary_risk,adjusted_risk_dollars,base_risk_dollars,context_vol,return_pct,entry_price,context_dollar_vol,signal_type,dist_sma20_pct
238.0,21.0,0.0,6.131999969482422,717.0,-602.2801094055176,198.0,200.0,2.2996163368225098,2.5428199768066406,22626500.0,2016-10-12,2016-08-16,FTNT,STOP,200.0,200.0,200.0,22626500.0,-12.04819474871804,6.9720001220703125,157751960.76202393,MOMENTUM,1.0478731393814087
264.0,27.0,1.0,18.713869094848633,89.0,171.93740463256836,258.0,200.0,1.5732167959213257,2.9181253910064697,33873300.0,2016-11-17,2016-11-09,MU,TP1,200.0,200.0,200.0,33873300.0,11.511633391467615,16.7819881439209,568461318.9954758,MOMENTUM,0.34422311186790466
264.0,31.0,1.0,27.358333587646484,59.0,120.36005401611328,259.0,200.0,2.15047287940979,2.8091092109680176,14128800.0,2016-11-17,2016-11-10,PANW,TP1,200.0,200.0,200.0,14128800.0,8.057406235813538,25.31833267211914,357717658.6578369,MOMENTUM,0.9969367980957031
266.0,21.0,0.0,6.133999824523926,777.0,-231.54626083374023,262.0,200.0,2.949789047241211,2.7776122093200684,35146000.0,2016-11-21,2016-11-15,FTNT,STOP,200.0,200.0,200.0,35146000.0,-4.6330896808201,6.432000160217285,226059077.6309967,MOMENTUM,2.7147903442382812
266.0,27.0,2.0,19.131465911865234,148.0,347.7227096557617,258.0,200.0,1.5732167959213257,2.9181253910064697,33873300.0,2016-11-21,2016-11-09,MU,TP2,200.0,200.0,200.0,33873300.0,13.999996590364711,16.7819881439209,568461318.9954758,MOMENTUM,0.34422311186790466
267.0,31.0,0.0,23.288333892822266,138.0,-280.13983154296875,259.0,200.0,2.15047287940979,2.8091092109680176,14128800.0,2016-11-22,2016-11-10,PANW,STOP,200.0,200.0,200.0,14128800.0,-8.01790072666331,25.31833267211914,357717658.6578369,MOMENTUM,0.9969367980957031
275.0,27.0,3.0,18.1577205657959,60.0,82.5439453125,258.0,200.0,1.5732167959213257,2.9181253910064697,33873300.0,2016-12-05,2016-11-09,MU,RUNNER,200.0,200.0,200.0,33873300.0,8.197672469297656,16.7819881439209,568461318.9954758,MOMENTUM,0.34422311186790466
290.0,36.0,1.0,14.635333061218262,113.0,161.06263160705566,281.0,200.0,1.6161646842956543,2.9775946140289307,102358496.0,2016-12-27,2016-12-13,TSLA,TP1,200.0,200.0,200.0,102358496.0,10.789803322901633,13.210000038146973,1352155736.0646667,MOMENTUM,4.670971870422363
295.0,36.0,2.0,15.13266658782959,189.0,363.38397789001465,281.0,200.0,1.6161646842956543,2.9775946140289307,102358496.0,2017-01-04,2016-12-13,TSLA,TP2,200.0,200.0,200.0,102358496.0,14.55462940295584,13.210000038146973,1352155736.0646667,MOMENTUM,4.670971870422363
329.0,36.0,3.0,17.06599998474121,76.0,293.0559959411621,281.0,200.0,1.6161646842956543,2.9775946140289307,102358496.0,2017-02-23,2016-12-13,TSLA,RUNNER,200.0,200.0,200.0,102358496.0,29.19000708144689,13.210000038146973,1352155736.0646667,MOMENTUM,4.670971870422363
339.0,35.0,1.0,387.9881896972656,3.0,89.92135620117188,320.0,200.0,2.014158010482788,2.6893911361694336,1722800.0,2017-03-09,2017-02-09,REGN,TP1,200.0,200.0,200.0,1722800.0,8.372228893766959,358.014404296875,616787215.7226562,MOMENTUM,0.7982645630836487
357.0,30.0,0.0,2.485048294067383,1911.0,-249.2749342918396,345.0,200.0,1.5666215419769287,3.072235345840454,1119687936.0,2017-04-04,2017-03-17,NVDA,STOP,200.0,200.0,200.0,1119687936.0,-4.987291892316631,2.615490436553955,2928533088.532837,MOMENTUM,3.708843469619751
378.0,35.0,2.0,431.91455078125,7.0,517.301025390625,320.0,200.0,2.014158010482788,2.6893911361694336,1722800.0,2017-05-04,2017-02-09,REGN,TP2,200.0,200.0,200.0,1722800.0,20.641668490828387,358.014404296875,616787215.7226562,MOMENTUM,0.7982645630836487
387.0,36.0,0.0,20.407333374023438,233.0,-235.33005332946777,381.0,200.0,1.516218662261963,2.878607749938965,145147504.0,2017-05-17,2017-05-09,TSLA,STOP,200.0,200.0,200.0,145147504.0,-4.715807521179148,21.417333602905273,3108672514.7970276,MOMENTUM,4.22804069519043
408.0,35.0,3.0,457.37335205078125,3.0,298.07684326171875,320.0,200.0,2.014158010482788,2.6893911361694336,1722800.0,2017-06-16,2017-02-09,REGN,RUNNER,200.0,200.0,200.0,1722800.0,27.752779374629625,358.014404296875,616787215.7226562,MOMENTUM,0.7982645630836487
418.0,27.0,0.0,29.134307861328125,162.0,-254.48085021972656,417.0,200.0,1.590567946434021,3.797837972640991,53948400.0,2017-06-30,2017-06-29,MU,STOP,200.0,200.0,200.0,53948400.0,-5.11597581765492,30.705177307128906,1656495187.435913,MOMENTUM,0.017467567697167397
438.0,13.0,0.0,13.55519962310791,354.0,-199.93929290771484,436.0,200.0,1.5138472318649292,4.804436206817627,130303696.0,2017-07-31,2017-07-27,AMD,STOP,200.0,200.0,200.0,130303696.0,-4.000001891138886,14.119999885559082,1839888172.6079254,MOMENTUM,3.861713171005249
444.0,30.0,1.0,4.282210826873779,378.0,119.901939868927,426.0,200.0,1.5197410583496094,3.5759642124176025,1369132032.0,2017-08-08,2017-07-13,NVDA,TP1,200.0,200.0,200.0,1369132032.0,8.0000026457481,3.965009927749634,5428622099.280029,MOMENTUM,5.777494430541992
447.0,30.0,0.0,3.8064095973968506,883.0,-140.04409170150757,426.0,200.0,1.5197410583496094,3.5759642124176025,1369132032.0,2017-08-11,2017-07-13,NVDA,STOP,200.0,200.0,200.0,1369132032.0,-3.9999983163421184,3.965009927749634,5428622099.280029,MOMENTUM,5.777494430541992
453.0,36.0,0.0,22.213760375976562,216.0,-199.92384338378906,441.0,200.0,1.5567044019699097,3.492035150527954,203024992.0,2017-08-21,2017-08-03,TSLA,STOP,200.0,200.0,200.0,203024992.0,-4.0,23.139333724975586,4697863044.398499,MOMENTUM,5.496718883514404
457.0,5.0,0.0,13.907614707946777,345.0,-199.92197513580322,450.0,200.0,1.8375974893569946,2.616926431655884,50988000.0,2017-08-25,2017-08-16,LRCX,STOP,200.0,200.0,200.0,50988000.0,-4.000000263316855,14.487098693847656,738668188.2019043,MOMENTUM,2.929208993911743
13.0,13.0,1.0,14.126399993896484,114.0,119.28960800170898,10.0,200.0,1.8232332468032837,3.2794365882873535,83517400.0,2017-09-21,2017-09-18,AMD,TP1,200.0,200.0,200.0,83517400.0,8.000000583287047,13.079999923706055,1092407585.628128,MOMENTUM,4.447815418243408
15.0,13.0,0.0,12.55679988861084,268.0,-140.21760940551758,10.0,200.0,1.8232332468032837,3.2794365882873535,83517400.0,2017-09-25,2017-09-18,AMD,STOP,200.0,200.0,200.0,83517400.0,-4.0000002916435236,13.079999923706055,1092407585.628128,MOMENTUM,4.447815418243408
37.0,13.0,0.0,12.329999923706055,350.0,-672.0000267028809,36.0,200.0,1.8836923837661743,2.591667890548706,84891600.0,2017-10-25,2017-10-24,AMD,STOP,200.0,200.0,200.0,84891600.0,-13.473684745922423,14.25,1209705300.0,MOMENTUM,4.660130023956299
76.0,24.0,1.0,100.86090087890625,15.0,112.06764221191406,73.0,200.0,1.5779972076416016,2.956986665725708,2648400.0,2017-12-20,2017-12-15,KLAC,TP1,200.0,200.0,200.0,2648400.0,7.99999803934031,93.38972473144531,247333346.97875977,MOMENTUM,1.956502079963684
79.0,27.0,0.0,41.22319793701172,112.0,-382.47283935546875,76.0,200.0,1.7984589338302612,3.9260382652282715,84338200.0,2017-12-26,2017-12-20,MU,STOP,200.0,200.0,200.0,84338200.0,-7.650266172569796,44.63813400268555,3764699873.145294,MOMENTUM,4.33057975769043
99.0,24.0,2.0,106.46428680419922,27.0,353.01317596435547,73.0,200.0,1.5779972076416016,2.956986665725708,2648400.0,2018-01-25,2017-12-15,KLAC,TP2,200.0,200.0,200.0,2648400.0,14.00000065355323,93.38972473144531,247333346.97875977,MOMENTUM,1.956502079963684
100.0,6.0,1.0,381.8599853515625,4.0,159.919921875,94.0,200.0,1.947083830833435,2.553485631942749,1036900.0,2018-01-26,2018-01-18,MELI,TP1,200.0,200.0,200.0,1036900.0,11.694155814246606,341.8800048828125,354495377.0629883,MOMENTUM,3.9521868228912354
101.0,6.0,2.0,390.2699890136719,7.0,338.7298889160156,94.0,200.0,1.947083830833435,2.553485631942749,1036900.0,2018-01-29,2018-01-18,MELI,TP2,200.0,200.0,200.0,1036900.0,14.15408431020884,341.8800048828125,354495377.0629883,MOMENTUM,3.9521868228912354
102.0,24.0,3.0,96.73173522949219,11.0,36.762115478515625,73.0,200.0,1.5779972076416016,2.956986665725708,2648400.0,2018-01-30,2017-12-15,KLAC,RUNNER,200.0,200.0,200.0,2648400.0,3.5785633886996395,93.38972473144531,247333346.97875977,MOMENTUM,1.956502079963684
106.0,6.0,3.0,351.989990234375,3.0,30.3299560546875,94.0,200.0,1.947083830833435,2.553485631942749,1036900.0,2018-02-05,2018-01-18,MELI,RUNNER,200.0,200.0,200.0,1036900.0,2.957173630270638,341.8800048828125,354495377.0629883,MOMENTUM,3.9521868228912354
131.0,36.0,0.0,22.112640380859375,217.0,-199.93512344360352,130.0,200.0,1.589999794960022,3.253570318222046,123960000.0,2018-03-13,2018-03-12,TSLA,STOP,200.0,200.0,200.0,123960000.0,-4.0,23.034000396728516,2855294689.178467,MOMENTUM,2.9728665351867676
135.0,7.0,0.0,168.63360595703125,28.0,-196.7391357421875,134.0,200.0,1.5531206130981445,2.865853786468506,2462100.0,2018-03-19,2018-03-16,VRTX,STOP,200.0,200.0,200.0,2462100.0,-3.999998610152454,175.66000366210938,432492495.0164795,MOMENTUM,4.042102336883545
138.0,35.0,0.0,325.8825988769531,14.0,-217.3349609375,134.0,200.0,1.5965958833694458,2.5257577896118164,1348900.0,2018-03-22,2018-03-16,REGN,STOP,200.0,200.0,200.0,1348900.0,-4.547050117683508,341.4065246582031,460523261.1114502,MOMENTUM,3.7605278491973877
156.0,5.0,0.0,18.230440139770508,263.0,-201.4115447998047,155.0,200.0,1.8218865394592285,4.122725009918213,60845000.0,2018-04-18,2018-04-17,LRCX,STOP,200.0,200.0,200.0,60845000.0,-4.031442099628767,18.99626350402832,1155827652.9026031,MOMENTUM,4.165548801422119
157.0,5.0,0.0,17.033384323120117,274.0,-327.99329376220703,156.0,200.0,2.474034547805786,4.253485202789307,91149000.0,2018-04-19,2018-04-18,LRCX,STOP,200.0,200.0,200.0,91149000.0,-6.566247482083336,18.230440139770508,1661686388.299942,MOMENTUM,0.3442385494709015
178.0,12.0,0.0,45.29338455200195,101.0,-411.17361068725586,177.0,200.0,1.6080323457717896,2.796365976333618,20101000.0,2018-05-18,2018-05-17,AMAT,STOP,200.0,200.0,200.0,20101000.0,-8.246884375542866,49.364410400390625,992274013.458252,MOMENTUM,3.528331995010376
191.0,5.0,0.0,16.790071487426758,285.0,-199.38225746154785,178.0,200.0,1.784403920173645,3.021322011947632,52501000.0,2018-06-07,2018-05-18,LRCX,STOP,200.0,200.0,200.0,52501000.0,-4.0000030535623186,17.48965835571289,918224553.3332825,MOMENTUM,0.3168640732765198
198.0,6.0,0.0,292.79998779296875,16.0,-195.2001953125,196.0,200.0,1.7807137966156006,4.827751636505127,1849200.0,2018-06-18,2018-06-14,MELI,STOP,200.0,200.0,200.0,1849200.0,-4.000004002305328,305.0,564006000.0,MOMENTUM,1.6046876907348633
