symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,trade_type,signal_type,r_multiple,outcome_category,was_stopped_out,hit_target,hold_time_category,context_adr,context_rvol,context_trend,context_vol,context_dollar_vol,dist_sma20_pct,consolidation_days,sector,sector_strength,time_since_earnings,spx_vs_voltrig,spy_at_entry,vix_at_entry,spy_ema20_at_entry,base_risk_dollars,adjusted_risk_dollars,risk_reduction_factor,size_multipliers_applied,rvol_classification,price_vs_sma20,price_vs_sma50,volume_at_entry,avg_volume_20d,atr_at_entry,atr_pct_price,volatility_regime,consolidation_quality,is_vcp_pattern,days_to_next_earnings,earnings_risk_level,vix_regime,spy_above_ema20,returns_pct,is_profitable,bars_held,position_value,monetary_risk,source,Result,month_key
AMZN,2024-06-26,2024-06-28,193.61,193.25,64,-23.040000000000873,STOP_BE,BLUE_SKY_PLUS,-0.09280058921009374,SMALL_LOSS,True,False,SCALP,2.095963856281253,1.6648256803066666,Uptrend,65103893.0,12604764723.730001,5.157674049773515,20,XLY,0.49276967439468633,57,True,535.7265014648438,12.550000190734863,528.1093412065285,500.0,496.54857142857145,0.9930971428571429,,NORMAL,5.157674049773515,5.7118583359541475,65103893.0,39105531.45,3.8792857142857144,2.003659787348646,LOW,A,False,36,LOW,CALM,True,-0.1859408088425255,False,2,12391.04,619.5520000000001,vectorbt_advanced,LOSS,2024-06
GOOGL,2024-06-21,2024-07-05,179.63,189.33071428571427,23,223.1164285714282,TP2,BLUE_SKY_PLUS,3.0409762651141934,BIG_WIN,False,True,POSITION,1.7552691842230506,2.3723712968549284,Uptrend,58582743.0,10523218125.09,2.3929499749190617,20,XLK,0.9882599102292884,57,True,534.7445068359375,13.199999809265137,525.8058732357505,500.0,248.81999999999982,0.49763999999999964,RVOL_WARNING: -50%,WARNING,2.3929499749190617,6.043969018607744,58582743.0,24693749.7,3.19,1.7758726270667484,LOW,A,False,32,LOW,CALM,True,5.400386508775967,True,14,4131.49,206.5745,vectorbt_advanced,WIN,2024-06
GOOGL,2024-06-21,2024-07-18,179.63,177.69,16,-31.039999999999964,RUNNER_STOP,BLUE_SKY_PLUS,-0.6081504702194355,BIG_LOSS,True,False,POSITION,1.7552691842230506,2.3723712968549284,Uptrend,58582743.0,10523218125.09,2.3929499749190617,20,XLK,0.9882599102292884,57,True,534.7445068359375,13.199999809265137,525.8058732357505,500.0,248.81999999999982,0.49763999999999964,RVOL_WARNING: -50%,WARNING,2.3929499749190617,6.043969018607744,58582743.0,24693749.7,3.19,1.7758726270667484,LOW,A,False,32,LOW,CALM,True,-1.0799977732004664,False,27,2874.08,143.704,vectorbt_advanced,LOSS,2024-06
AVGO,2024-06-12,2024-07-24,149.55,151.34,25,44.7499999999998,PHASE3_SMA50_BREAK,BLUE_SKY_PLUS,0.4347675225537807,WIN,False,True,LONG,2.749674538173307,1.9614190718757303,Uptrend,56697369.0,8479091533.950001,6.757755196008092,19,XLK,1.3226070477812653,97,True,529.9412841796875,12.039999961853027,518.7124701115052,500.0,498.17428571428513,0.9963485714285703,,NORMAL,6.757755196008092,11.265036217866685,56697369.0,28906300.45,4.11714285714286,2.753020967664901,LOW,B,False,85,LOW,CALM,True,1.1969241056502786,True,42,3738.7500000000005,186.93750000000003,vectorbt_advanced,WIN,2024-06
META,2024-09-20,2024-10-01,561.35,580.6496428571429,8,154.39714285714308,TP1,BLUE_SKY_PLUS,1.3171890995953812,WIN,False,True,POSITION,2.660485085819814,1.9947287542552574,Uptrend,22066817.0,12387207722.95,7.27331620451011,19,XLK,-0.6078612136378142,51,True,559.7704467773438,16.149999618530273,548.0574525081278,500.0,249.08642857142843,0.49817285714285686,OVEREXTENDED: -50%,NORMAL,7.27331620451011,10.691276734699025,22066817.0,11062565.25,14.652142857142877,2.610161727468224,LOW,B,False,40,LOW,CALM,True,3.4380765756021883,True,11,4490.8,224.54000000000002,vectorbt_advanced,WIN,2024-09
META,2024-09-20,2024-10-07,561.35,600.4871428571429,5,195.6857142857143,TP2,BLUE_SKY_PLUS,2.671086627992007,WIN,False,True,POSITION,2.660485085819814,1.9947287542552574,Uptrend,22066817.0,12387207722.95,7.27331620451011,19,XLK,-0.6078612136378142,51,True,559.7704467773438,16.149999618530273,548.0574525081278,500.0,249.08642857142843,0.49817285714285686,OVEREXTENDED: -50%,NORMAL,7.27331620451011,10.691276734699025,22066817.0,11062565.25,14.652142857142877,2.610161727468224,LOW,B,False,40,LOW,CALM,True,6.971968087136878,True,17,2806.75,140.3375,vectorbt_advanced,WIN,2024-09
META,2024-09-20,2024-10-28,561.35,578.16,4,67.23999999999978,"EARNINGS_EXIT(<10%cushion,2d)",BLUE_SKY_PLUS,1.14727246136596,WIN,False,False,LONG,2.660485085819814,1.9947287542552574,Uptrend,22066817.0,12387207722.95,7.27331620451011,19,XLK,-0.6078612136378142,51,True,559.7704467773438,16.149999618530273,548.0574525081278,500.0,249.08642857142843,0.49817285714285686,OVEREXTENDED: -50%,NORMAL,7.27331620451011,10.691276734699025,22066817.0,11062565.25,14.652142857142877,2.610161727468224,LOW,B,False,40,LOW,CALM,True,2.99456666963569,True,38,2245.4,112.27000000000001,vectorbt_advanced,WIN,2024-09
AMZN,2024-11-06,2024-11-13,207.09,215.02714285714288,23,182.5542857142861,TP1,BLUE_SKY_PLUS,1.5044679122664528,WIN,False,True,SWING,2.1301425182967275,1.9303842154119455,Uptrend,72292167.0,14970984864.03,8.69582332795339,20,XLY,1.306250624716275,6,True,582.2203369140625,16.270000457763672,568.7259333996437,500.0,247.95857142857147,0.49591714285714295,OVEREXTENDED: -50%,NORMAL,8.69582332795339,11.144624870119287,72292167.0,37449626.05,5.2757142857142885,2.5475466153432267,LOW,A,False,92,LOW,CALM,True,3.832702137786891,True,7,4763.07,238.1535,vectorbt_advanced,WIN,2024-11
AMZN,2024-11-06,2024-11-15,207.09,202.61,24,-107.51999999999975,STOP_BE,BLUE_SKY_PLUS,-0.8491741131871087,BIG_LOSS,True,False,SWING,2.1301425182967275,1.9303842154119455,Uptrend,72292167.0,14970984864.03,8.69582332795339,20,XLY,1.306250624716275,6,True,582.2203369140625,16.270000457763672,568.7259333996437,500.0,247.95857142857147,0.49591714285714295,OVEREXTENDED: -50%,NORMAL,8.69582332795339,11.144624870119287,72292167.0,37449626.05,5.2757142857142885,2.5475466153432267,LOW,A,False,92,LOW,CALM,True,-2.163310637886904,False,9,4970.16,248.508,vectorbt_advanced,LOSS,2024-11
GOOGL,2024-12-11,2024-12-13,195.4,189.82,26,-145.08000000000033,STOP,BLUE_SKY_PLUS,-1.177570093457949,BIG_LOSS,True,False,SCALP,2.3581069154464207,2.2505578721862403,Uptrend,67894071.0,13266501473.4,12.164124700790431,18,XLK,-0.22926891313628261,43,True,598.3953247070312,13.579999923706055,590.6635797757218,500.0,123.20285714285689,0.24640571428571378,"RVOL_WARNING: -50%, OVEREXTENDED: -50%",WARNING,12.164124700790431,14.547268628000406,67894071.0,30167662.8,4.738571428571427,2.4250621435882427,LOW,B,False,55,LOW,CALM,True,-2.8556806550665366,False,2,5080.400000000001,254.02000000000004,vectorbt_advanced,LOSS,2024-12
AAPL,2024-12-20,2024-12-31,254.49,250.1007142857143,29,-127.28928571428546,STOP,BLUE_SKY_PLUS,-1.037481006246836,BIG_LOSS,True,False,POSITION,1.7258800012303508,2.933830705534534,Uptrend,147495267.0,37536070498.83,4.403155601685298,20,XLK,-12.889516440880962,50,False,584.2886352539062,18.360000610351562,589.1666046006449,500.0,122.69071428571385,0.2453814285714277,"RVOL_WARNING: -50%, MARKET_DANGER: -50%",WARNING,4.403155601685298,8.375890463228263,147495267.0,50273953.0,4.230714285714285,1.6624284984534894,LOW,A,False,41,LOW,CALM,False,-1.7247379913889367,False,11,7380.21,369.01050000000004,vectorbt_advanced,LOSS,2024-12
