symbol,entry_date,exit_date,entry_price,exit_price,shares,initial_shares,pnl,return_pct,reason,signal_type,tp1_executed,tp2_executed,final_shares_pct,R_inicial,adr_valor,entry_stage,initial_stop_loss,context_adr,context_vol,context_trend,context_price,context_sma20,context_rvol,is_profitable,signal_reason,returns_pct,position_value,monetary_risk
APP,2024-09-12,2024-12-10,98.64074846649169,321.05999755859375,32,102,7532.393115002076,225.48414580173022,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (98.10) and AVWAP (97.57) converge within 0.5%. Trend: Uptrend. RVOL: 2.46x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,31.372549019607842,5.147489493475348,4.284549713134766,FULL,93.49325897301634,4.604413378865255,3409165,Weak,0,0,2.4590978396806635,True,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (98.10) and AVWAP (97.57) converge within 0.5%. Trend: Uptrend. RVOL: 2.46x. Clear path above with SMA20 support and volume confirmation.,225.48414580173022,3156.503950927734,500.0
PLTR,2024-11-06,2025-01-02,53.439998626708984,75.19000244140625,72,240,2081.9811218261716,40.69985848357928,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (51.58) and AVWAP (51.13) converge within 0.9%. Trend: Uptrend. RVOL: 4.51x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,30.0,3.6896072710962784,1.662299919128418,FULL,49.750391355612706,3.5602123984979412,53672785,Weak,0,0,4.505691971701068,True,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (51.58) and AVWAP (51.13) converge within 0.9%. Trend: Uptrend. RVOL: 4.51x. Clear path above with SMA20 support and volume confirmation.,40.69985848357928,3847.679901123047,500.0
META,2025-01-27,2025-01-27,655.3102499999999,627.0,29,29,-820.9972499999966,-4.320129282275058,STOP_LOSS | Blue Sky Breakout: Base (652.00) and AVWAP (647.49) converge within 0.7%. Trend: Uptrend. RVOL: 1.72x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,19.72223380742048,16.82850000000001,FULL,635.5880161925794,2.4972287562563533,11525369,Weak,0,0,1.7203263422155592,False,STOP_LOSS | Blue Sky Breakout: Base (652.00) and AVWAP (647.49) converge within 0.7%. Trend: Uptrend. RVOL: 1.72x. Clear path above with SMA20 support and volume confirmation.,-4.320129282275058,19003.997249999997,500.0
META,2025-01-28,2025-01-28,667.2395999999999,674.33,6,6,42.54240000000095,1.0626467613732997,EARNINGS_EXIT (<10% Cushion) | EARNINGS_RISK (2d away) - Size reduced 75% (26->6) | Blue Sky Breakout: Base (663.87) and AVWAP (659.88) converge within 0.6%. Trend: Uptrend. RVOL: 2.46x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,21.663409002105368,17.616000000000014,FULL,645.5761909978945,2.719336535372893,12709026,Uptrend,0,0,2.4640588865788113,True,EARNINGS_EXIT (<10% Cushion) | EARNINGS_RISK (2d away) - Size reduced 75% (26->6) | Blue Sky Breakout: Base (663.87) and AVWAP (659.88) converge within 0.6%. Trend: Uptrend. RVOL: 2.46x. Clear path above with SMA20 support and volume confirmation.,1.0626467613732997,4003.4375999999993,500.0
LLY,2025-02-07,2025-02-11,874.99,865.0,3,3,-29.970000000000027,-1.1417273340266756,"MOMENTUM_FAIL (3-Day Rule) | EARNINGS_RISK (0d away) - Size reduced 75% (14->3) | VWAP Reclaim: Weak open, price reclaimed VWAP at 870.37. Institutions defending position. RVOL: 1.76x",VWAP_RECLAIM,False,False,100.0,39.379999999999995,23.484500000000008,FULL,835.61,2.9927190296754027,4225492,Weak,0,0,1.763409690320473,False,"MOMENTUM_FAIL (3-Day Rule) | EARNINGS_RISK (0d away) - Size reduced 75% (14->3) | VWAP Reclaim: Weak open, price reclaimed VWAP at 870.37. Institutions defending position. RVOL: 1.76x",-1.1417273340266756,2624.9700000000003,500.0
AVGO,2025-06-04,2025-06-04,259.21965,261.08,15,15,27.90524999999974,0.7176732165173368,EARNINGS_EXIT (<10% Cushion) | EARNINGS_RISK (2d away) - Size reduced 75% (61->15) | Blue Sky Breakout: Base (257.88) and AVWAP (256.85) converge within 0.4%. Trend: Uptrend. RVOL: 1.60x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,9.195029746510073,6.9415000000000004,FULL,250.02462025348993,3.005811799076485,19681071,Weak,0,0,1.6006875502823794,True,EARNINGS_EXIT (<10% Cushion) | EARNINGS_RISK (2d away) - Size reduced 75% (61->15) | Blue Sky Breakout: Base (257.88) and AVWAP (256.85) converge within 0.4%. Trend: Uptrend. RVOL: 1.60x. Clear path above with SMA20 support and volume confirmation.,0.7176732165173368,3888.29475,500.0
PLTR,2025-08-06,2025-08-15,177.26190184020996,177.26190184020996,27,86,467.6398688677458,0.0,STOP_LOSS | Blue Sky Breakout: Base (176.33) and AVWAP (173.27) converge within 1.7%. Trend: Uptrend. RVOL: 2.33x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,31.3953488372093,6.6231543243033855,5.1595001220703125,FULL,170.63874751590657,3.2368552172383738,59821580,Weak,0,0,2.326700634798683,True,STOP_LOSS | Blue Sky Breakout: Base (176.33) and AVWAP (173.27) converge within 1.7%. Trend: Uptrend. RVOL: 2.33x. Clear path above with SMA20 support and volume confirmation.,0.0,4786.071349685669,500.0
APP,2025-09-09,2025-10-06,558.3277499999999,558.3277499999999,8,25,469.96323046874977,0.0,STOP_LOSS | Blue Sky Breakout: Base (555.50) and AVWAP (547.04) converge within 1.5%. Trend: Uptrend. RVOL: 3.03x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,32.0,22.627737792968674,22.387356567382813,FULL,535.7000122070312,4.9979570775161495,5802595,Weak,0,0,3.0299900571256653,True,STOP_LOSS | Blue Sky Breakout: Base (555.50) and AVWAP (547.04) converge within 1.5%. Trend: Uptrend. RVOL: 3.03x. Clear path above with SMA20 support and volume confirmation.,0.0,4466.621999999999,500.0
WMT,2025-10-15,2025-10-16,108.50984999999999,105.99534107619485,228,228,-573.3080346275715,-2.317309372195371,STOP_LOSS | Blue Sky Breakout: Base (107.92) and AVWAP (107.21) converge within 0.7%. Trend: Uptrend. RVOL: 1.95x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,2.5145089238051384,1.8680000000000008,FULL,105.99534107619485,1.8154889607382227,16637146,Weak,0,0,1.9497525706933156,False,STOP_LOSS | Blue Sky Breakout: Base (107.92) and AVWAP (107.21) converge within 0.7%. Trend: Uptrend. RVOL: 1.95x. Clear path above with SMA20 support and volume confirmation.,-2.317309372195371,24740.245799999997,500.0
LLY,2025-11-05,2025-11-07,911.3942999999999,911.3942999999999,12,20,222.03439999999955,0.0,"STOP_LOSS | VWAP Reclaim: Weak open, price reclaimed VWAP at 906.86. Institutions defending position. RVOL: 1.95x",VWAP_RECLAIM,True,False,60.0,27.754299999999944,23.806500000000007,FULL,883.64,2.62069238332486,3202110,Weak,0,0,1.9460039289081095,True,"STOP_LOSS | VWAP Reclaim: Weak open, price reclaimed VWAP at 906.86. Institutions defending position. RVOL: 1.95x",0.0,10936.7316,500.0
LLY,2025-11-11,2025-12-04,986.9501999999999,1014.49,6,16,544.2444381517721,2.790394084726882,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (981.99) and AVWAP (966.64) converge within 1.6%. Trend: Uptrend. RVOL: 1.55x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,37.5,34.43440635862851,26.813500000000012,FULL,952.5157936413714,2.985631920882129,3847436,Weak,0,0,1.5505036722806647,True,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (981.99) and AVWAP (966.64) converge within 1.6%. Trend: Uptrend. RVOL: 1.55x. Clear path above with SMA20 support and volume confirmation.,2.790394084726882,5921.7011999999995,500.0
