ticker,entry_date,final_exit_date,entry_price,exit_price,total_shares,total_pnl,exit_phases,entry_signal,context_adr,context_rvol,context_trend,dist_sma20_pct,consolidation_days,sector,sector_strength,vix_regime,spy_above_ema20,base_risk_dollars,adjusted_risk_dollars,risk_reduction_factor,rvol_classification,volatility_regime,is_vcp_pattern,hold_days,r_multiple,return_pct,outcome_category,is_winner,was_stopped_out,hit_tp1,hit_tp2,had_runner
LAKE,2021-07-19,2021-07-20,23.94847869873047,22.99053955078125,1600,-1532.70263671875,STOP,UNKNOWN,4.006043701027013,2.593744498562291,,0,16.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2359.3958363255592,1.0,UNKNOWN,UNKNOWN,False,1,-0.6496165726501101,-4.0,BIG_LOSS,False,True,False,False,False
LEG,2020-07-30,2020-08-04,31.78528213500977,30.513870849609376,801,-1018.4004396057124,STOP,UNKNOWN,3.993817196726164,2.418329168815029,,0,17.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2033.978651026558,1.0,UNKNOWN,UNKNOWN,False,5,-0.5006937703558104,-3.9999999999999982,BIG_LOSS,False,True,False,False,False
LEGN,2021-07-19,2021-07-27,43.869998931884766,47.316827217192476,458,786.7357308523995,"STOP_BE,TP1",UNKNOWN,4.160839972420891,3.265773602412433,,0,17.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1784.632347556028,1.0,UNKNOWN,UNKNOWN,False,8,0.44083910724233927,3.9155770373925156,SMALL_WIN,True,True,True,False,False
LEGN,2022-12-07,2022-12-12,54.900001525878906,52.704001464843756,364,-799.3440222167972,STOP,UNKNOWN,4.307461152698657,1.7900903099829144,,0,13.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2343.387871426563,1.0,UNKNOWN,UNKNOWN,False,5,-0.3411061531739463,-4.000000000000002,SMALL_LOSS,False,True,False,False,False
LGIH,2019-03-27,2019-03-28,63.54999923706055,61.00799926757812,382,-971.0439883422864,STOP,UNKNOWN,3.6938306510743297,2.32708660564372,,0,14.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1498.626712183088,1.0,UNKNOWN,UNKNOWN,False,1,-0.6479558788377271,-4.000000000000005,BIG_LOSS,False,True,False,False,False
LGND,2018-09-18,2018-10-03,165.76419067382812,165.76419067382812,228,0.0,STOP_BE,UNKNOWN,3.012358460991113,1.8328072664023267,,0,20.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1517.6101298991507,1.0,UNKNOWN,UNKNOWN,False,15,0.0,0.0,SMALL_WIN,False,True,False,False,False
LI,2021-11-29,2021-12-03,34.47999954223633,33.100799560546875,520,-717.1839904785156,STOP,UNKNOWN,5.1727061399079215,3.163947807944414,,0,10.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2392.923649755122,1.0,UNKNOWN,UNKNOWN,False,4,-0.29971035246022504,-4.0,SMALL_LOSS,False,True,False,False,False
LITE,2019-08-08,2019-08-12,60.63999938964844,58.2143994140625,416,-1009.0495898437508,STOP,UNKNOWN,3.2019258729264592,2.9930917449201213,,0,18.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1553.822415416344,1.0,UNKNOWN,UNKNOWN,False,4,-0.6493982708914504,-4.0000000000000036,BIG_LOSS,False,True,False,False,False
LLY,2020-06-16,2020-06-24,153.81338500976562,147.660849609375,91,-559.8807214355476,STOP,UNKNOWN,3.0139981806631844,3.1460808222475745,,0,18.0,XLV,-1.1654705859222974,UNKNOWN,False,100.0,1885.543855251707,1.0,UNKNOWN,UNKNOWN,False,8,-0.29693327995322993,-4.000000000000005,SMALL_LOSS,False,True,False,False,False
LNTH,2019-10-31,2019-11-20,20.850000381469727,20.850000381469727,1263,0.0,STOP_BE,UNKNOWN,3.5617308542031965,2.2208876485203897,,0,18.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1621.8337168366645,1.0,UNKNOWN,UNKNOWN,False,20,0.0,0.0,SMALL_WIN,False,True,False,False,False
LOCO,2023-05-01,2023-05-02,10.020000457763672,10.220000267028809,5978,1195.5988597869873,"EARNINGS_EXIT(<10%,2d)",UNKNOWN,3.160635647369661,1.5765736179529284,,0,18.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2396.20128253428,1.0,UNKNOWN,UNKNOWN,False,1,0.4989559385105133,1.9960059893028583,SMALL_WIN,True,False,False,False,False
LOW,2020-05-18,2020-06-11,105.69803619384766,114.81568313249505,115,606.0800272125742,"RUNNER,TP1,TP2",UNKNOWN,3.06463499559169,1.50845783960158,,0,19.0,XLY,0.6823835292668945,UNKNOWN,False,100.0,1668.195159908002,1.0,UNKNOWN,UNKNOWN,False,24,0.36331482177780594,4.986148556753473,SMALL_WIN,True,False,True,True,True
LULU,2020-11-30,2020-12-11,370.2200012207031,355.411201171875,85,-1258.74800415039,STOP,UNKNOWN,3.714602997176771,1.5124936871319423,,0,16.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2163.0910186846127,1.0,UNKNOWN,UNKNOWN,False,11,-0.5819209609200086,-3.9999999999999982,BIG_LOSS,False,True,False,False,False
LX,2019-09-04,2019-09-20,9.260306358337402,9.260306358337402,1236,0.0,STOP_BE,UNKNOWN,5.306186470419272,4.246584938704028,,0,10.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1527.5394519641957,1.0,UNKNOWN,UNKNOWN,False,16,0.0,0.0,SMALL_WIN,False,True,False,False,False
MANH,2020-11-30,2021-01-28,102.23999786376952,111.02002129434538,391,2160.250892094204,"RUNNER,TP1,TP2",UNKNOWN,3.868584948611397,1.7547899304063923,,0,18.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1691.0605171282164,1.0,UNKNOWN,UNKNOWN,False,59,1.2774533319261534,5.403891293418918,WIN,True,False,True,True,True
MAR,2020-08-10,2020-09-21,93.67223358154295,98.01127258732289,302,651.9352138037518,"STOP_BE,TP1",UNKNOWN,3.4449752565585583,1.859236653323293,,0,18.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2015.8997035568648,1.0,UNKNOWN,UNKNOWN,False,42,0.3233966514571502,2.3045525776249978,SMALL_WIN,True,True,True,False,False
MASI,2024-01-29,2024-02-23,130.25,132.2100067138672,340,666.4022827148438,"EARNINGS_EXIT(<10%,4d)",UNKNOWN,3.357577199248234,1.6344330678801668,,0,17.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2674.8735310630623,1.0,UNKNOWN,UNKNOWN,False,25,0.24913412726843898,1.5048036190918905,SMALL_WIN,True,False,False,False,False
MAT,2019-10-30,2019-11-21,12.020000457763672,11.539200439453124,1012,-486.5696185302747,STOP,UNKNOWN,5.059816690378501,5.72797922427066,,0,11.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1623.287537809107,1.0,UNKNOWN,UNKNOWN,False,22,-0.2997433339425375,-4.000000000000011,SMALL_LOSS,False,True,False,False,False
MDB,2019-09-04,2019-09-05,158.66000366210938,152.313603515625,138,-875.8032202148431,STOP,UNKNOWN,4.901483944871695,2.70370660333864,,0,12.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1355.85337208062,1.0,UNKNOWN,UNKNOWN,False,1,-0.6459424287678559,-3.9999999999999973,BIG_LOSS,False,True,False,False,False
MDB,2023-04-26,2023-05-01,238.22000122070312,228.69120117187495,165,-1572.252008056644,STOP,UNKNOWN,4.531873112948726,2.372621250681379,,0,11.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2424.993041744485,1.0,UNKNOWN,UNKNOWN,False,5,-0.6483532039026395,-4.000000000000008,BIG_LOSS,False,True,False,False,False
MDB,2024-11-13,2024-11-15,300.8900146484375,288.8544140625,260,-3129.2561523437544,STOP,UNKNOWN,3.425189040022191,1.975482103340476,,0,19.0,UNKNOWN,0.0,UNKNOWN,False,100.0,3139.1375459266133,1.0,UNKNOWN,UNKNOWN,False,2,-0.9968521947706047,-4.000000000000005,BIG_LOSS,False,True,False,False,False
MEDP,2023-01-10,2023-01-30,223.2899932861328,223.2899932861328,151,0.0,STOP_BE,UNKNOWN,3.263505578477349,1.9013165698019212,,0,19.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2368.285124763061,1.0,UNKNOWN,UNKNOWN,False,20,0.0,0.0,SMALL_WIN,False,True,False,False,False
MEDP,2023-04-25,2023-04-27,208.2700042724609,199.93920410156252,87,-724.7796148681645,STOP,UNKNOWN,3.0847765683461965,3.5386072319368305,,0,19.0,UNKNOWN,0.0,UNKNOWN,False,100.0,2430.656756878152,1.0,UNKNOWN,UNKNOWN,False,2,-0.29818262608129226,-4.000000000000003,SMALL_LOSS,False,True,False,False,False
MELI,2019-08-08,2019-08-12,688.0999755859375,660.5759765624999,27,-743.1479736328143,STOP,UNKNOWN,3.812557024008388,2.141369019688808,,0,16.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1175.4288192249378,1.0,UNKNOWN,UNKNOWN,False,4,-0.6322356245466537,-4.00000000000001,BIG_LOSS,False,True,False,False,False
MELI,2020-06-12,2020-07-13,896.4299926757812,980.1004330931593,51,2549.4486171177464,"RUNNER,TP1,TP2",UNKNOWN,3.658191744847887,1.5566182330942309,,0,18.0,UNKNOWN,0.0,UNKNOWN,False,100.0,1853.9311949485916,1.0,UNKNOWN,UNKNOWN,False,31,1.3751581634012264,5.5764743459466315,WIN,True,False,True,True,True
