,symbol,entry_date,final_exit_date,entry_price,total_pnl,total_shares,exit_phases,hold_days,r_multiple
87,SO,11/02/21,16/08/21,50.73,669.61,110,TP1,186,0.67
95,T,04/12/20,19/07/21,15.76,673.1,793,"STOP,TP1",227,0.67
103,TSCO,16/04/21,19/05/21,33.48,-37.24,373,STOP,33,-0.04
63,KDP,26/01/21,21/04/21,28.8,670.53,194,TP1,85,0.67
41,EVRG,05/03/21,15/04/21,45.76,686.81,122,TP1,41,0.69
101,TRV,13/01/21,12/03/21,128.66,663.87,43,TP1,58,0.66
18,BDX,22/10/20,04/03/21,170.01,0,73,STOP,133,0
38,ERIC,19/10/20,26/02/21,9.14,2940.49,1367,"RUNNER,TP1,TP2",130,2.94
74,MMC,04/12/20,27/01/21,108.42,-1032.98,115,STOP,54,-1.03
116,XYL,15/12/20,26/01/21,94.13,-67.25,132,STOP,42,-0.07
11,AJG,09/12/20,13/01/21,111.4,0,112,STOP,35,0
7,AEP,30/09/20,20/11/20,66.97,667.05,186,"STOP,TP1",51,0.67
53,ICE,12/10/20,28/10/20,96.3,-1108.79,129,STOP,16,-1.11
60,JNJ,12/10/20,28/10/20,130.83,-1103.37,95,STOP,16,-1.1
4,ACN,03/08/20,24/09/20,210.63,-698,59,STOP,52,-0.7
56,IQV,01/09/20,21/09/20,165.13,-990.78,75,STOP,20,-0.99
28,CVS,10/08/20,01/09/20,54.96,-1030.97,227,STOP,22,-1.03
64,KMB,29/05/20,07/08/20,115.2,665.29,48,TP1,70,0.67
75,MSFT,05/06/20,06/07/20,178.72,695.52,31,TP1,31,0.7
29,D,26/05/20,26/06/20,62.91,-40.75,198,STOP,31,-0.04
31,DISH,24/10/19,13/03/20,35.17,707.9,355,"STOP,TP1",141,0.71
20,BRO,24/10/19,13/03/20,35.25,709.52,354,"STOP,TP1",141,0.71
33,DUK,31/01/19,12/03/20,66.25,433.93,188,"STOP,TP1",406,0.43
10,AJG,24/10/19,12/03/20,84.64,404.16,147,"STOP,TP1",140,0.4
100,TMUS,31/01/19,09/03/20,67.26,2860.61,185,"RUNNER,TP1,TP2",403,2.86
93,SYY,31/01/19,09/03/20,53.13,532.89,235,"STOP,TP1",403,0.53
117,YUM,31/01/19,28/02/20,82.62,455.08,151,"STOP,TP1",393,0.46
98,TJX,12/02/20,28/02/20,58.6,-998.6,213,STOP,16,-1
68,LII,31/01/19,28/02/20,210.74,657.52,59,"STOP,TP1",393,0.66
89,SPGI,12/02/20,27/02/20,289.05,-1475.29,43,STOP,15,-1.48
83,PG,24/10/19,27/02/20,106.7,-1062.02,117,STOP,126,-1.06
47,GD,12/02/20,25/02/20,164.23,-998.5,76,STOP,13,-1
39,ETR,31/01/19,07/11/19,34.33,3205.95,364,"RUNNER,TP1,TP2",280,3.21
23,CERN,18/07/19,24/10/19,73.44,-570.93,170,STOP,98,-0.57
22,CELG,18/07/19,24/10/19,73.44,-570.93,170,STOP,98,-0.57
17,BAX,18/07/19,24/10/19,73.44,-570.93,170,STOP,98,-0.57
62,KDP,31/01/19,23/08/19,23.01,641.41,543,"STOP,TP1",204,0.64
97,TFC,18/07/19,05/08/19,37.98,-999.67,329,STOP,18,-1
59,JNJ,31/01/19,18/07/19,109.32,0,114,STOP,168,0
