,day_idx,col_idx,exit_type_code,exit_price,shares,pnl,entry_day_idx,initial_risk,context_rvol,context_adr,context_volume,entry_score,stop_loss,tp1_target,tp2_target,exit_date,entry_date,symbol,exit_phase,monetary_risk,adjusted_risk_dollars,base_risk_dollars,context_vol,return_pct,entry_price,context_dollar_vol,signal_type,dist_sma20_pct,rs_percentile,pattern_confidence,pattern_type,pattern_bonus,stop_distance,stop_distance_pct,risk_per_share,r_multiple,outcome,is_big_win,is_big_loss
26,131.0,158.0,1.0,125.45140075683594,17.0,493.63743099975596,88.0,500.0,1.8304529190063477,4.62866735458374,77120000.0,0.9342467784881592,96.16300201416016,125.45140075683594,169.38400268554688,2025-06-05,2025-04-16,NFLX,TP1,500.0,500.0,500.0,77120000.0,30.11753957759166,96.41390481567382,7435440339.384765,POCKET_PIVOT,3.477128267288208,47.72727272727273,0.0,NONE,0.0,29.41176470588235,30.5057291913572,29.41176470588235,0.987274861999512,WIN,False,False
27,134.0,10.0,0.0,78.3801498413086,21.0,-74.81087956237792,94.0,500.0,1.6694635152816772,6.084078311920166,1084400.0,0.5,81.78581237792969,105.67572784423828,141.51058959960938,2025-06-10,2025-04-23,AAON,STOP,500.0,500.0,500.0,1084400.0,-4.34746276556314,81.9425726776123,88858525.81160279,POCKET_PIVOT,2.571781873703003,14.659685863874344,0.0,NONE,0.0,23.80952380952381,29.056353774975946,23.80952380952381,-0.14962175912475584,LOSS,False,False
28,135.0,141.0,1.0,868.64892578125,2.0,428.49329980468747,83.0,500.0,2.7760534286499023,5.157068729400635,3447900.0,0.8351229429244995,652.6649780273438,862.3424072265625,1176.8585205078125,2025-06-11,2025-04-10,KLAC,TP1,500.0,500.0,500.0,3447900.0,32.73928863016194,654.4022758789063,2256313607.002881,POCKET_PIVOT,-2.5166380405426025,68.68686868686868,0.0,NONE,0.0,250.0,38.20280112324383,250.0,0.856986599609375,WIN,False,False
29,175.0,136.0,1.0,795.8071899414062,2.0,369.1453845214843,75.0,500.0,2.0410549640655518,2.6787269115448,3071400.0,0.8453315496444702,609.6428833007812,792.5982666015625,1067.0313720703125,2025-07-28,2025-04-01,INTU,TP1,500.0,500.0,500.0,3071400.0,30.19670731300429,611.2344976806642,1877345636.1763918,POCKET_PIVOT,1.8927613496780396,61.111111111111114,0.5,CUP_AND_HANDLE,0.2,250.0,40.900832814349926,250.0,0.7382907690429685,WIN,False,False
30,176.0,35.0,0.0,219.30999755859375,14.0,-6.1406799316404665,94.0,500.0,1.3416751623153687,5.641475677490234,339900.0,0.699999988079071,219.30999755859375,286.2099914550781,386.55999755859375,2025-07-29,2025-04-23,ABG,STOP,500.0,500.0,500.0,339900.0,-0.19960079840318848,219.74861755371091,74692555.10650633,POCKET_PIVOT,-0.6169820427894592,14.659685863874344,0.0,NONE,0.0,35.714285714285715,16.252336925649345,35.714285714285715,-0.012281359863280933,LOSS,False,False
31,177.0,66.0,0.0,174.89999389648438,16.0,-541.2681865234373,94.0,500.0,1.071784257888794,3.799626350402832,677292.0,0.699999988079071,178.0291748046875,269.08001708984375,360.1308288574219,2025-07-30,2025-04-23,ADS-DE,STOP,500.0,500.0,500.0,677292.0,-16.207244915378254,208.7292555541992,141370654.9528147,POCKET_PIVOT,5.2881951332092285,82.19895287958116,0.0,NONE,0.0,31.25,14.971547671660975,31.25,-1.0825363730468747,LOSS,False,True
32,206.0,112.0,0.0,17.28485679626465,191.0,-6.602815296173357,94.0,500.0,1.0678753852844238,1.732490062713623,6880090.0,0.5,17.28485679626465,22.504846572875977,30.33483123779297,2025-09-02,2025-04-23,ENGI-PA,STOP,500.0,500.0,500.0,6880090.0,-0.1996007984032015,17.31942650985718,119159213.13620329,POCKET_PIVOT,2.3432087898254395,34.031413612565444,0.0,NONE,0.0,2.6178010471204187,15.114825226057704,2.6178010471204187,-0.013205630592346713,LOSS,False,False
33,221.0,125.0,0.0,65.40481567382812,43.0,-501.93179046630866,89.0,500.0,3.1083736419677734,2.113827705383301,2052035.0,0.5,65.40481567382812,100.03089141845703,134.65696716308594,2025-09-19,2025-04-17,HEIA-AS,STOP,500.0,500.0,500.0,2052035.0,-15.144250814286528,77.07764801025391,158166031.43472138,POCKET_PIVOT,6.184100151062012,75.75757575757575,0.0,NONE,0.0,11.627906976744185,15.085964967687241,11.627906976744185,-1.0038635809326173,LOSS,False,True
34,251.0,141.0,2.0,1180.8387451171875,1.0,525.8120895996094,83.0,500.0,2.7760534286499023,5.157068729400635,3447900.0,0.8351229429244995,652.6649780273438,862.3424072265625,1176.8585205078125,2025-10-24,2025-04-10,KLAC,TP2,500.0,500.0,500.0,3447900.0,80.27338813931655,655.0266555175781,2258466405.5590577,POCKET_PIVOT,-2.5166380405426025,68.68686868686868,0.0,NONE,0.0,500.0,76.33277146636395,500.0,1.051624179199219,WIN,False,False
35,254.0,166.0,1.0,63.9144401550293,34.0,495.46175569152825,94.0,500.0,1.115468144416809,2.4989943504333496,3380800.0,0.5,49.21420669555664,63.9144401550293,85.96479034423828,2025-10-28,2025-04-23,POW-TO,TP1,500.0,500.0,500.0,3380800.0,29.533448324718066,49.3420355758667,166815553.87489015,POCKET_PIVOT,1.941161036491394,45.54973821989529,0.0,NONE,0.0,14.705882352941176,29.80396366163267,14.705882352941176,0.9909235113830565,WIN,False,False
36,256.0,106.0,0.0,27.450000762939453,103.0,-564.9447315902711,94.0,500.0,1.0239063501358032,2.879404306411743,8487776.0,0.5,28.063501358032227,42.51300048828125,56.962501525878906,2025-10-30,2025-04-23,DTE-DE,STOP,500.0,500.0,500.0,8487776.0,-16.653762812597478,32.934901069641114,279544062.8612742,POCKET_PIVOT,3.4924159049987793,56.02094240837696,0.0,NONE,0.0,4.854368932038835,14.73928499670982,4.854368932038835,-1.1298894631805423,LOSS,False,True
37,257.0,188.0,1.0,465.50048828125,4.0,427.99877441406255,94.0,500.0,1.1685163974761963,2.810788631439209,21298680.0,0.5,357.5697937011719,465.50048828125,627.3965454101562,2025-10-31,2025-04-23,TSCO-L,TP1,500.0,500.0,500.0,21298680.0,29.846431358597247,358.50079467773435,7635593705.586767,POCKET_PIVOT,4.898895263671875,86.38743455497382,0.0,NONE,0.0,125.0,34.86742619702301,125.0,0.8559975488281251,WIN,False,False
38,267.0,88.0,0.0,156.2893829345703,20.0,-63.49888977050789,94.0,500.0,2.757452964782715,2.300879716873169,5974009.0,0.5,159.15174865722656,208.1304931640625,281.5986022949219,2025-11-12,2025-04-23,CBA-AX,STOP,500.0,500.0,500.0,5974009.0,-1.9910061013843758,159.4643274230957,952641327.2045206,POCKET_PIVOT,4.654064655303955,98.1675392670157,0.0,NONE,0.0,25.0,15.677487500805883,25.0,-0.12699777954101577,LOSS,False,False
39,268.0,95.0,1.0,76.9681396484375,28.0,504.36129296874986,15.0,500.0,1.923068881034851,1.4652775526046753,23876400.0,0.5,58.801300048828125,76.44168853759766,102.90227508544922,2025-11-13,2025-01-19,CSCO,TP1,500.0,500.0,500.0,23876400.0,30.553525763273576,58.955236328125004,1407638804.6648438,POCKET_PIVOT,1.8128657341003418,,0.0,NONE,0.0,17.857142857142858,30.28932452709715,17.857142857142858,1.0087225859374997,WIN,False,False
40,270.0,141.0,3.0,1132.419921875,1.0,477.49010400390625,83.0,500.0,2.7760534286499023,5.157068729400635,3447900.0,0.8351229429244995,652.6649780273438,862.3424072265625,1176.8585205078125,2025-11-16,2025-04-10,KLAC,RUNNER,500.0,500.0,500.0,3447900.0,72.90706438684214,654.9298178710937,2258132519.037744,POCKET_PIVOT,-2.5166380405426025,68.68686868686868,0.0,NONE,0.0,500.0,76.3440579977399,500.0,0.9549802080078125,WIN,False,False
41,289.0,158.0,0.0,96.16300201416016,17.0,-3.2695420684815364,88.0,500.0,1.8304529190063477,4.62866735458374,77120000.0,0.9342467784881592,96.16300201416016,125.45140075683594,169.38400268554688,2025-12-08,2025-04-16,NFLX,STOP,500.0,500.0,500.0,77120000.0,-0.19960079840319914,96.35532801818849,7430922896.762696,POCKET_PIVOT,3.477128267288208,47.72727272727273,0.0,NONE,0.0,29.41176470588235,30.524274381931892,29.41176470588235,-0.0065390841369630725,LOSS,False,False
