symbol,phase,exit_date,entry_date,entry_price,exit_price,shares_sold,shares_remaining,pct_sold,pnl,return_pct,reason,signal_type,pre_trade_context
NVDA,FASE_1,2024-01-09,2024-01-09,52.55737405126324,54.1346532962072,126,191,39.74763406940063,198.73718486293888,3.001061741413332,TP1: +1R Risk-Free Conversion,BLUE_SKY,"{'R_inicial': 1.5772792449439592, 'adr_valor': 1.2793371765047628, 'initial_shares': 317, 'initial_stop': 52.55737405126324, 'entry_stage': 'FULL', 'context_adr': 2.473356539686497, 'context_vol': 379906500, 'context_trend': 'Weak', 'context_rvol': 1.7587490930949574}"
NVDA,FASE_2,2024-01-11,2024-01-09,52.55737405126324,54.791473388671875,95,96,29.96845425867508,212.2394370538205,4.250781888816492,TP2: +1.5ADR Resistance,BLUE_SKY,"{'R_inicial': 1.5772792449439592, 'adr_valor': 1.2793371765047628, 'initial_shares': 317, 'initial_stop': 52.55737405126324, 'entry_stage': 'FULL', 'context_adr': 2.473356539686497, 'context_vol': 379906500, 'context_trend': 'Weak', 'context_rvol': 1.7587490930949574}"
AVGO,FASE_1,2024-01-24,2024-01-22,119.65244903277765,122.69291023058057,62,93,40.0,188.50859426378057,2.5410772803906476,TP1: +1R Risk-Free Conversion,BLUE_SKY,"{'R_inicial': 3.0404611978029124, 'adr_valor': 2.1685316398752006, 'initial_shares': 155, 'initial_stop': 119.65244903277765, 'entry_stage': 'FULL', 'context_adr': 2.0332964234003015, 'context_vol': 26222550, 'context_trend': 'Weak', 'context_rvol': 2.0921414127876954}"
QCOM,FASE_1,2024-01-24,2024-01-22,147.3183678017516,149.8650164808278,54,81,40.0,137.51902867011398,1.728670169970418,TP1: +1ADR Risk-Free Conversion,BLUE_SKY,"{'R_inicial': 3.4960568876504965, 'adr_valor': 2.546648679076182, 'initial_shares': 135, 'initial_stop': 147.3183678017516, 'entry_stage': 'FULL', 'context_adr': 1.8680080091465672, 'context_vol': 7272340, 'context_trend': 'Weak', 'context_rvol': 2.400673627783588}"
AVGO,FASE_3,2024-01-26,2024-01-22,119.65244903277765,119.27120905284073,93,0,60.0,-35.45531813413372,-0.3186227971251007,STOP_LOSS,BLUE_SKY,"{'R_inicial': 3.0404611978029124, 'adr_valor': 2.1685316398752006, 'initial_shares': 155, 'initial_stop': 119.65244903277765, 'entry_stage': 'FULL', 'context_adr': 2.0332964234003015, 'context_vol': 26222550, 'context_trend': 'Weak', 'context_rvol': 2.0921414127876954}"
QCOM,FASE_3,2024-01-26,2024-01-22,147.3183678017516,145.99828990710893,81,0,60.0,-106.92630946605703,-0.8960714908402507,STOP_LOSS,BLUE_SKY,"{'R_inicial': 3.4960568876504965, 'adr_valor': 2.546648679076182, 'initial_shares': 135, 'initial_stop': 147.3183678017516, 'entry_stage': 'FULL', 'context_adr': 1.8680080091465672, 'context_vol': 7272340, 'context_trend': 'Weak', 'context_rvol': 2.400673627783588}"
PANW,FASE_1,2024-02-09,2024-02-08,184.03560736083983,189.51423137075423,34,52,39.53488372093023,186.27321633708954,2.9769369571902593,TP1: +1R Risk-Free Conversion,BLUE_SKY,"{'R_inicial': 5.478624009914398, 'adr_valor': 4.09649887084961, 'initial_shares': 86, 'initial_stop': 184.03560736083983, 'entry_stage': 'FULL', 'context_adr': 2.4570994633255836, 'context_vol': 6649840, 'context_trend': 'Weak', 'context_rvol': 2.0707274100176187}"
PANW,FASE_3,2024-02-12,2024-02-08,184.03560736083983,184.03560736083983,52,0,60.46511627906976,0.0,0.0,STOP_LOSS,BLUE_SKY,"{'R_inicial': 5.478624009914398, 'adr_valor': 4.09649887084961, 'initial_shares': 86, 'initial_stop': 184.03560736083983, 'entry_stage': 'FULL', 'context_adr': 2.4570994633255836, 'context_vol': 6649840, 'context_trend': 'Weak', 'context_rvol': 2.0707274100176187}"
UBER,FASE_1,2024-02-15,2024-02-15,79.64624693298339,81.76734659576415,68,102,40.0,144.234777069092,2.663150800521107,TP1: +1ADR Risk-Free Conversion,BLUE_SKY,"{'R_inicial': 2.7724003784167905, 'adr_valor': 2.121099662780762, 'initial_shares': 170, 'initial_stop': 79.64624693298339, 'entry_stage': 'FULL', 'context_adr': 2.9246873914556724, 'context_vol': 23428695, 'context_trend': 'Uptrend', 'context_rvol': 3.3363697244892987}"
UBER,FASE_3,2024-02-16,2024-02-15,79.64624693298339,79.64624693298339,102,0,60.0,0.0,0.0,STOP_LOSS,BLUE_SKY,"{'R_inicial': 2.7724003784167905, 'adr_valor': 2.121099662780762, 'initial_shares': 170, 'initial_stop': 79.64624693298339, 'entry_stage': 'FULL', 'context_adr': 2.9246873914556724, 'context_vol': 23428695, 'context_trend': 'Uptrend', 'context_rvol': 3.3363697244892987}"
NVDA,FASE_3,2024-02-21,2024-01-09,52.55737405126324,67.43443298339844,96,0,30.28391167192429,1428.1976574849791,28.306320855422612,FASE_3_MA20_BREACH,BLUE_SKY,"{'R_inicial': 1.5772792449439592, 'adr_valor': 1.2793371765047628, 'initial_shares': 317, 'initial_stop': 52.55737405126324, 'entry_stage': 'FULL', 'context_adr': 2.473356539686497, 'context_vol': 379906500, 'context_trend': 'Weak', 'context_rvol': 1.7587490930949574}"
CRM,FASE_1,2024-03-01,2024-03-01,308.3964572532994,314.5467280538492,26,39,40.0,159.90704081429567,1.9942741415795022,TP1: +1ADR Risk-Free Conversion,BLUE_SKY,"{'R_inicial': 7.6931115549653555, 'adr_valor': 6.150270800549831, 'initial_shares': 65, 'initial_stop': 308.3964572532994, 'entry_stage': 'FULL', 'context_adr': 1.9854469966948916, 'context_vol': 5820985, 'context_trend': 'Weak', 'context_rvol': 4.380889809671984}"
