adr,max_exposure,total_trades,win_rate,total_pnl,avg_return,sharpe_ratio,max_drawdown,profit_factor,score
2.0,40,106,16.9811320754717,-13103.478560961232,-1.0992784490912275,-1.9623996316566155,84.28209235348633,0.6184765824330667,-12.613679139836018
2.0,35,106,16.9811320754717,-13103.478560961232,-1.0992784490912275,-1.9623996316566155,84.28209235348633,0.6184765824330667,-12.613679139836018
2.0,15,106,16.9811320754717,-12456.68011624049,-1.0992784490912277,-1.9623996316566157,84.28209235348633,0.6184765824330667,-12.613679139836018
2.0,25,106,16.9811320754717,-13078.07993888949,-1.0992784490912275,-1.9623996316566155,84.28209235348633,0.6184765824330667,-12.613679139836018
2.0,30,106,16.9811320754717,-13103.478560961232,-1.0992784490912275,-1.9623996316566155,84.28209235348633,0.6184765824330666,-12.61367913983602
2.0,20,106,16.9811320754717,-12932.738970573506,-1.0992784490912275,-1.9623996316566155,84.28209235348635,0.6184765824330666,-12.613679139836021
4.0,15,32,9.375,-6992.95695761606,-1.5791652251596222,-2.1700564157883377,46.39805271476978,0.5818700574748277,-14.56643220488527
4.0,20,32,9.375,-7213.986601689251,-1.5791652251596222,-2.1700564157883377,46.39805271476978,0.5818700574748277,-14.56643220488527
4.0,25,32,9.375,-7209.810338073972,-1.5791652251596222,-2.1700564157883377,46.39805271476978,0.5818700574748277,-14.56643220488527
4.0,30,32,9.375,-7209.810338073972,-1.5791652251596222,-2.1700564157883377,46.39805271476978,0.5818700574748277,-14.56643220488527
4.0,35,32,9.375,-7209.810338073972,-1.5791652251596222,-2.1700564157883377,46.39805271476978,0.5818700574748277,-14.56643220488527
4.0,40,32,9.375,-7209.810338073972,-1.5791652251596222,-2.1700564157883377,46.39805271476978,0.5818700574748277,-14.56643220488527
1.5,30,112,16.071428571428573,-14688.422263292272,-1.1549074980606737,-2.1181520639946188,86.19821062184593,0.5935501304506614,-14.899431223600581
1.5,40,112,16.071428571428573,-14687.289998288972,-1.1549074980606737,-2.1181520639946188,86.19821062184594,0.5935501304506614,-14.899431223600583
1.5,35,112,16.071428571428573,-14687.977099731786,-1.1549074980606737,-2.1181520639946188,86.19821062184594,0.5935501304506614,-14.899431223600583
1.5,20,112,16.071428571428573,-14417.22874786783,-1.1549074980606737,-2.1181520639946188,86.19821062184594,0.5935501304506614,-14.899431223600583
1.5,25,112,16.071428571428573,-14661.025128296871,-1.154907498060674,-2.118152063994619,86.19821062184593,0.5935501304506614,-14.899431223600592
1.5,15,112,16.071428571428573,-13690.839018384322,-1.154907498060674,-2.118152063994619,86.19821062184594,0.5935501304506614,-14.899431223600594
1.0,20,113,15.929203539823009,-14438.29688389961,-1.1497318937952956,-2.1180937700191773,86.27688968426855,0.5924888120367964,-14.941751280975982
1.0,15,113,15.929203539823009,-13707.730285161513,-1.1497318937952956,-2.1180937700191773,86.27688968426855,0.5924888120367964,-14.941751280975982
1.0,35,113,15.929203539823009,-14722.231484980595,-1.1497318937952956,-2.1180937700191773,86.27688968426855,0.5924888120367963,-14.941751280975986
1.0,25,113,15.929203539823009,-14686.239129586807,-1.1497318937952956,-2.1180937700191773,86.27688968426855,0.5924888120367963,-14.941751280975986
1.0,40,113,15.929203539823009,-14722.737283403887,-1.149731893795296,-2.118093770019178,86.27688968426855,0.5924888120367963,-14.941751280975996
1.0,30,113,15.929203539823009,-14720.217190633406,-1.149731893795296,-2.118093770019178,86.27688968426855,0.5924888120367963,-14.941751280975996
