date,symbol,camino,entry_price,exit_price,return_pct,risk_pct,outcome,hold_days,stop_loss,base_high
2024-02-08,RIVN,Camino AMINO_1,16.110000610351562,16.350000381469727,1.4897564371533978,0.7448782185766989,WIN,5,15.948900604248047,15.78780059814453
2024-02-09,RIVN,Camino AMINO_1,16.68000030517578,16.299999237060547,-2.2781838199206783,1.1390919099603392,LOSS,5,16.513200302124023,16.346400299072265
2024-02-15,RIVN,Camino AMINO_1,16.350000381469727,10.06999969482422,-38.40978923623113,19.204894618115564,LOSS,5,16.18650037765503,16.023000373840333
2024-05-02,RIVN,Camino AMINO_1,9.829999923706056,10.220000267028809,3.967450115459594,1.983725057729797,WIN,5,9.731699924468996,9.633399925231934
2024-05-08,RIVN,Camino AMINO_1,10.270000457763672,10.199999809265137,-0.6816031682415138,0.3408015841207569,LOSS,5,10.167300453186035,10.064600448608399
2024-05-13,RIVN,Camino AMINO_3,10.899999618530272,10.279999732971191,-5.688072543645475,2.8440362718227377,LOSS,5,10.79099962234497,10.681999626159666
2024-05-30,RIVN,Camino AMINO_1,10.970000267028809,11.739999771118164,7.019138426127928,3.509569213063964,WIN,5,10.86030026435852,10.750600261688232
2024-06-24,RIVN,Camino AMINO_2,11.010000228881836,13.920000076293944,26.43051577581707,13.215257887908535,WIN,5,10.899900226593017,10.7898002243042
2024-06-25,RIVN,Camino AMINO_1,11.960000038146973,14.890000343322754,24.498330232695736,12.249165116347868,WIN,5,11.840400037765503,11.720800037384032
2024-06-26,RIVN,Camino AMINO_3,14.739999771118164,14.649999618530272,-0.6105844910814627,0.30529224554073137,LOSS,5,14.592599773406983,14.4451997756958
2024-06-27,RIVN,Camino AMINO_3,14.470000267028809,14.789999961853027,2.211469861222924,1.105734930611462,WIN,5,14.325300264358521,14.180600261688232
2024-07-01,RIVN,Camino AMINO_1,13.920000076293944,15.710000038146973,12.859195057774714,6.429597528887357,WIN,5,13.780800075531005,13.641600074768064
2024-07-02,RIVN,Camino AMINO_1,14.890000343322754,16.3700008392334,9.93955985081178,4.96977992540589,WIN,5,14.741100339889526,14.5922003364563
2024-07-31,RIVN,Camino AMINO_2,16.40999984741211,13.78499984741211,-15.996343841611724,7.998171920805862,LOSS,5,16.245899848937988,16.081799850463867
