ticker,close,sma20,gap_to_sma20_pct,rvol,gap_rvol,adr,gap_adr,dist_sma20,gap_dist,dv_M,gap_dv_M,rs_pct,gap_rs,n_blockers,blockers,proximity_score
ACAP,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACAQ,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACAS,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACCS2,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACCT,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACDI,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACDO,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACETQ,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACF,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACFC,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACHHY,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACME,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACMM,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACNAQ,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACQR,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACRO1,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACRUQ,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACV1,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ACW,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ADELQ,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
ADEP,,0.0,0.0,0.0,0.92,,0.0,999.0,983.52,,0.0,50.0,20.0,3,rvol(0.00<0.92) | dist(999.0>15.48) | rs(50%<70%),1002.72
