date,status,n_signals
2024-08-02,BLOCKED (SPY=523<SMA50=540),0
2024-08-05,BLOCKED (SPY=508<SMA50=539),0
2024-08-06,BLOCKED (SPY=513<SMA50=538),0
2024-08-07,BLOCKED (SPY=509<SMA50=537),0
2024-08-08,BLOCKED (SPY=521<SMA50=536),0
2024-08-09,BLOCKED (SPY=523<SMA50=535),0
2024-08-12,BLOCKED (SPY=524<SMA50=534),0
2024-08-13,BLOCKED (SPY=532<SMA50=534),0
2024-08-14,OK,25
2024-08-15,OK,61
2024-08-16,OK,27
2024-08-19,OK,23
2024-08-20,OK,20
2024-08-21,OK,28
2024-08-22,OK,16
2024-08-23,OK,36
2024-08-26,OK,32
2024-08-27,OK,32
2024-08-28,OK,48
2024-08-29,OK,44
2024-08-30,OK,114
2024-09-03,OK,88
2024-09-04,OK,62
2024-09-05,OK,53
2024-09-06,BLOCKED (SPY=531<SMA50=536),0
2024-09-09,BLOCKED (SPY=537<SMA50=537),0
2024-09-10,OK,34
2024-09-11,OK,53
2024-09-12,OK,56
2024-09-13,OK,61
2024-09-16,OK,62
2024-09-17,OK,73
2024-09-18,OK,119
2024-09-19,OK,148
2024-09-20,OK,234
2024-09-23,OK,44
2024-09-24,OK,54
2024-09-25,OK,52
2024-09-26,OK,69
2024-09-27,OK,36
2024-09-30,OK,48
2024-10-01,OK,47
2024-10-02,OK,28
2024-10-03,OK,36
2024-10-04,OK,25
2024-10-07,OK,25
2024-10-08,OK,17
2024-10-09,OK,34
2024-10-10,OK,26
2024-10-11,OK,28
2024-10-14,OK,26
2024-10-15,OK,65
2024-10-16,OK,36
2024-10-17,OK,36
2024-10-18,OK,57
2024-10-21,OK,49
2024-10-22,OK,48
2024-10-23,OK,46
2024-10-24,OK,45
2024-10-25,OK,43
2024-10-28,OK,56
2024-10-29,OK,81
2024-10-30,OK,64
2024-10-31,BLOCKED (SPY=560<SMA50=568),0
2024-11-01,BLOCKED (SPY=563<SMA50=568),0
2024-11-04,BLOCKED (SPY=561<SMA50=567),0
2024-11-05,OK,74
2024-11-06,OK,105
2024-11-07,OK,107
2024-11-08,OK,61
2024-11-11,OK,54
2024-11-12,OK,39
2024-11-13,OK,52
2024-11-14,OK,55
2024-11-15,OK,71
2024-11-18,OK,50
2024-11-19,OK,35
2024-11-20,OK,49
2024-11-21,OK,54
2024-11-22,OK,35
2024-11-25,OK,139
2024-11-26,OK,30
2024-11-27,OK,26
2024-11-29,OK,0
2024-12-02,OK,60
2024-12-03,OK,48
2024-12-04,OK,51
2024-12-05,OK,51
2024-12-06,OK,24
2024-12-09,OK,76
2024-12-10,OK,47
2024-12-11,OK,53
2024-12-12,OK,24
2024-12-13,OK,29
2024-12-16,OK,55
2024-12-17,OK,49
2024-12-18,BLOCKED (SPY=578<SMA50=590),0
2024-12-19,BLOCKED (SPY=577<SMA50=589),0
2024-12-20,BLOCKED (SPY=584<SMA50=589),0
2024-12-23,BLOCKED (SPY=588<SMA50=590),0
2024-12-24,OK,1
2024-12-26,OK,1
2024-12-27,BLOCKED (SPY=588<SMA50=591),0
2024-12-30,BLOCKED (SPY=581<SMA50=591),0
2024-12-31,BLOCKED (SPY=579<SMA50=591),0
