number,value,datetime_start,datetime_complete,duration,params_max_consolidation_range,params_max_dist_sma20,params_max_stop_pct,params_max_vix,params_min_consolidation_days,params_min_dollar_volume,params_min_volume,params_require_bullish_spy,params_rvol_danger,params_rvol_warning,params_rvol_warning_size,state
51,0.39173165785767894,2026-01-10 01:17:13.281894,2026-01-10 01:17:13.902037,0 days 00:00:00.620143,20.0,15.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
52,0.39173165785767894,2026-01-10 01:17:13.904373,2026-01-10 01:17:14.506367,0 days 00:00:00.601994,20.0,15.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
53,0.39173165785767894,2026-01-10 01:17:14.508473,2026-01-10 01:17:15.113638,0 days 00:00:00.605165,20.0,15.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
54,0.39173165785767894,2026-01-10 01:17:15.115875,2026-01-10 01:17:15.720370,0 days 00:00:00.604495,20.0,15.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
55,0.39173165785767894,2026-01-10 01:17:15.723007,2026-01-10 01:17:16.370519,0 days 00:00:00.647512,20.0,15.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
56,0.3627729529058126,2026-01-10 01:17:16.372889,2026-01-10 01:17:16.978559,0 days 00:00:00.605670,20.0,20.0,0.08,40.0,5,10000000.0,200000,False,3.0,2.5,0.6,COMPLETE
57,0.39173165785767894,2026-01-10 01:17:16.980575,2026-01-10 01:17:17.589670,0 days 00:00:00.609095,15.0,25.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
58,0.39173165785767894,2026-01-10 01:17:17.591678,2026-01-10 01:17:18.198104,0 days 00:00:00.606426,20.0,15.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
59,0.39173165785767894,2026-01-10 01:17:18.200176,2026-01-10 01:17:18.798992,0 days 00:00:00.598816,20.0,20.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
60,0.3803441460330497,2026-01-10 01:17:18.801185,2026-01-10 01:17:19.420511,0 days 00:00:00.619326,20.0,15.0,0.08,50.0,10,10000000.0,100000,False,3.5,2.0,0.65,COMPLETE
61,0.39173165785767894,2026-01-10 01:17:19.422374,2026-01-10 01:17:20.020992,0 days 00:00:00.598618,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
62,0.39173165785767894,2026-01-10 01:17:20.022857,2026-01-10 01:17:20.621667,0 days 00:00:00.598810,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
63,0.39173165785767894,2026-01-10 01:17:20.624471,2026-01-10 01:17:21.226266,0 days 00:00:00.601795,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
64,0.39173165785767894,2026-01-10 01:17:21.228276,2026-01-10 01:17:21.875406,0 days 00:00:00.647130,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
65,0.36783366015466984,2026-01-10 01:17:21.877447,2026-01-10 01:17:22.498929,0 days 00:00:00.621482,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.5,0.6,COMPLETE
66,0.3893461629148444,2026-01-10 01:17:22.501001,2026-01-10 01:17:23.095314,0 days 00:00:00.594313,20.0,15.0,0.08,40.0,10,5000000.0,100000,False,3.0,2.0,0.7,COMPLETE
67,0.34471560333106377,2026-01-10 01:17:23.097416,2026-01-10 01:17:23.687401,0 days 00:00:00.589985,25.0,25.0,0.07,50.0,5,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
68,0.38733155441013667,2026-01-10 01:17:23.689312,2026-01-10 01:17:24.286242,0 days 00:00:00.596930,20.0,15.0,0.08,40.0,10,10000000.0,200000,False,3.0,2.0,0.6,COMPLETE
