number,value,datetime_start,datetime_complete,duration,params_max_consolidation_range,params_max_dist_sma20,params_max_stop_pct,params_max_vix,params_min_consolidation_days,params_min_dollar_volume,params_min_volume,params_require_bullish_spy,params_require_positive_rs,params_require_sma_trend,params_rvol_danger,params_rvol_warning,params_rvol_warning_size,state
13,1.0047556212847395,2026-01-15 23:00:17.972601,2026-01-15 23:00:19.303707,0 days 00:00:01.331106,25.0,20.0,0.07,40.0,5,10000000.0,200000,False,False,False,3.5,2.5,0.7,COMPLETE
14,0.9832982179105011,2026-01-15 23:00:19.306489,2026-01-15 23:00:20.584846,0 days 00:00:01.278357,25.0,20.0,0.07,40.0,15,10000000.0,200000,False,False,False,3.5,2.5,0.7,COMPLETE
15,1.0047556212847395,2026-01-15 23:00:20.586937,2026-01-15 23:00:21.964983,0 days 00:00:01.378046,25.0,25.0,0.07,40.0,5,10000000.0,200000,False,False,False,3.5,2.5,0.7,COMPLETE
16,1.0047556212847395,2026-01-15 23:00:21.967687,2026-01-15 23:00:23.335900,0 days 00:00:01.368213,25.0,20.0,0.07,40.0,5,10000000.0,200000,False,False,False,3.5,2.5,0.7,COMPLETE
17,0.9523477971199339,2026-01-15 23:00:23.338249,2026-01-15 23:00:24.845451,0 days 00:00:01.507202,30.0,20.0,0.07,40.0,5,2000000.0,200000,False,False,False,3.5,2.5,0.7,COMPLETE
18,-999.0,2026-01-15 23:00:24.847820,2026-01-15 23:00:27.294779,0 days 00:00:02.446959,15.0,15.0,0.07,50.0,10,10000000.0,200000,True,False,False,3.5,2.5,0.7,COMPLETE
19,0.9762362941644203,2026-01-15 23:00:27.297316,2026-01-15 23:00:28.619607,0 days 00:00:01.322291,25.0,25.0,0.08,40.0,15,10000000.0,100000,False,False,False,3.5,2.5,0.7,COMPLETE
20,1.0126536570540459,2026-01-15 23:00:28.622778,2026-01-15 23:00:30.224154,0 days 00:00:01.601376,25.0,20.0,0.07,40.0,5,2000000.0,200000,False,False,False,4.0,2.5,0.7,COMPLETE
21,1.0126536570540459,2026-01-15 23:00:30.227745,2026-01-15 23:00:31.591837,0 days 00:00:01.364092,25.0,20.0,0.07,40.0,5,2000000.0,200000,False,False,False,4.0,2.5,0.7,COMPLETE
22,1.0126536570540459,2026-01-15 23:00:31.593929,2026-01-15 23:00:32.922634,0 days 00:00:01.328705,25.0,20.0,0.07,40.0,5,2000000.0,200000,False,False,False,4.0,2.5,0.7,COMPLETE
23,1.0126536570540459,2026-01-15 23:00:32.924843,2026-01-15 23:00:34.182764,0 days 00:00:01.257921,25.0,20.0,0.07,40.0,5,2000000.0,200000,False,False,False,4.0,2.5,0.7,COMPLETE
24,1.0126536570540459,2026-01-15 23:00:34.184769,2026-01-15 23:00:35.480362,0 days 00:00:01.295593,25.0,20.0,0.07,40.0,5,2000000.0,200000,False,False,False,4.0,2.5,0.7,COMPLETE
25,1.0126536570540459,2026-01-15 23:00:35.483440,2026-01-15 23:00:36.780722,0 days 00:00:01.297282,25.0,20.0,0.07,40.0,5,2000000.0,200000,False,False,False,4.0,2.5,0.7,COMPLETE
26,-999.0,2026-01-15 23:00:36.782971,2026-01-15 23:00:40.785313,0 days 00:00:04.002342,30.0,20.0,0.07,50.0,5,2000000.0,200000,True,False,True,4.0,2.0,0.7,COMPLETE
27,0.9052641671169763,2026-01-15 23:00:40.787772,2026-01-15 23:00:42.049744,0 days 00:00:01.261972,15.0,20.0,0.07,40.0,5,2000000.0,200000,False,False,False,4.0,2.5,0.7,COMPLETE
28,0.9164050639167481,2026-01-15 23:00:42.051896,2026-01-15 23:00:43.348243,0 days 00:00:01.296347,20.0,15.0,0.1,40.0,10,2000000.0,100000,False,False,False,4.0,2.5,0.7,COMPLETE
29,0.9982078408453567,2026-01-15 23:00:43.350343,2026-01-15 23:00:44.618281,0 days 00:00:01.267938,25.0,25.0,0.08,40.0,15,2000000.0,150000,False,False,False,4.0,2.5,0.7,COMPLETE
