ticker,price,avg_volume,dollar_volume,adr_pct
KHC,24.020000457763672,11020066.666666666,264702006.3779195,1.905960947176844
PLD,129.14999389648438,2007933.3333333333,259324577.74454752,0.8832810936749597
FTNT,81.18000030517578,3140400.0,254937672.95837402,1.8339163279100033
NOC,582.3499755859375,432466.6666666667,251846952.77506512,1.850040411039577
CYTK,64.18000030517578,3910400.0,250969473.19335938,6.970335993017172
CDNS,317.760009765625,788933.3333333334,250691463.7044271,0.9857132576556284
VRSK,218.85000610351562,1141633.3333333333,249846461.96797687,1.37993224130333
ZS,229.60000610351562,1084300.0,248955286.618042,1.9995075465207641
PH,887.760009765625,274233.3333333333,243453386.67805988,0.9708349454171107
EOG,103.87000274658203,2317133.3333333335,240680645.69753012,1.169557353230146
CTAS,191.17999267578125,1250833.3333333333,239134307.5052897,1.9904187613825366
CME,276.3800048828125,862133.3333333334,238276414.8763021,1.4970863396300187
PL,20.31999969482422,11442966.666666666,232521079.17455035,5.677919327028356
KDP,28.0,8076400.0,226139200.0,1.4751340688371424
WM,221.36000061035156,983866.6666666666,217788725.9338379,1.3084329197863362
EMR,136.3000030517578,1583733.3333333333,215862858.1665039,1.4032195591561256
BKR,45.29999923706055,4727333.333333333,214148196.39333087,1.3456140825618823
BIIB,176.3300018310547,1208600.0,213112440.2130127,1.6718535279234665
EA,204.77999877929688,1037966.6666666666,212554812.73295084,0.2680481184826923
CPRT,39.099998474121094,5419300.0,211894621.73080444,1.1648265462137972
CTSH,85.41999816894531,2471266.6666666665,211095594.14164224,0.8381103150901825
EXC,43.52000045776367,4757966.666666667,207066711.51135764,0.878670991449334
TEAM,161.1199951171875,1225333.3333333333,197425700.68359375,2.695982466783144
LPLA,373.3800048828125,522700.0,195165728.5522461,1.980427355642923
ODFL,159.36000061035156,1178266.6666666667,187768576.71915692,1.3328085269005636
TTWO,251.60000610351562,739533.3333333334,186066591.18041992,1.0058854594723936
CSGP,66.88999938964844,2776700.0,185733461.30523682,1.9223985736357165
FAST,41.83000183105469,4212566.666666667,176211671.38010663,1.2222204674579462
DXCM,67.41999816894531,2572300.0,173424461.28997803,1.8295959287400327
PCAR,111.51000213623047,1541233.3333333333,171862932.2924296,1.1300266860100798
CDW,138.7100067138672,1178666.6666666667,163492861.2467448,1.8241386076625097
ZM,87.79000091552734,1829666.6666666667,160626438.34177655,2.172942277582597
ILMN,135.32000732421875,1115033.3333333333,150886318.8334147,2.472422814994457
FANG,146.91000366210938,1008866.6666666666,148212605.69458008,2.001540263773101
NGD,9.079999923706055,16058866.666666666,145814508.10813904,5.337911101746651
GEHC,83.38999938964844,1720566.6666666667,143478053.2831828,1.0870513130789228
ITW,251.9499969482422,551366.6666666666,138916829.9840291,1.0005559178999297
RUN,20.15999984741211,5252533.333333333,105891071.19852701,6.748246871421302
GFS,35.75,2850200.0,101894650.0,2.2634358389771387
IAG,17.31999969482422,5855133.333333333,101410907.54648843,3.4264402503761637
EQX,14.600000381469727,6732600.0,98295962.56828308,3.365859867620492
AGI,40.349998474121094,1963066.6666666667,79209737.00459799,2.759597415581808
