symbol,entry_date,exit_date,entry_price,exit_price,shares,initial_shares,pnl,return_pct,reason,signal_type,tp1_executed,tp2_executed,final_shares_pct,R_inicial,adr_valor,entry_stage,initial_stop_loss,context_adr,context_vol,context_trend,context_price,context_sma20,context_rvol,is_profitable,signal_reason,returns_pct,position_value,monetary_risk,sector,market_health_score,market_health_status,market_health_reasons,sector_momentum_20d,sector_ranking,sector_momentum_class
DD,2021-05-05,2021-05-06,30.522536322662734,30.522536322662734,163.0,271.0,64.9721932771436,0.0,"STOP_LOSS | Risk Clamped: 5.0% -> 4.1% (Max 2xADR/8%) | VWAP Reclaim: Weak open, price reclaimed VWAP at 30.35. Institutions defending position. RVOL: 2.06x",VWAP_RECLAIM,True,False,60.14760147601476,1.2713782235626887,0.601594382195775,FULL,29.25115809910005,2.016068010021772,5944300,Uptrend,0,0,2.0561668930096,True,"STOP_LOSS | Risk Clamped: 5.0% -> 4.1% (Max 2xADR/8%) | VWAP Reclaim: Weak open, price reclaimed VWAP at 30.35. Institutions defending position. RVOL: 2.06x",0.0,4975.1734205940265,500.0,Other,0,RED,,,,
OTIS,2021-04-27,2021-05-10,71.93659325101176,72.8033447265625,142.0,236.0,274.028667404642,1.204882572804561,TIME_EXPIRATION (10-Day Rule) | Blue Sky Breakout: Base (71.53) and AVWAP (70.96) converge within 0.8%. Trend: Uptrend. RVOL: 2.30x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.16949152542372,1.6058506157067711,1.2377961373705364,FULL,70.33074263530499,1.7412798895686037,2844255,Weak,0,0,2.302340866001095,True,TIME_EXPIRATION (10-Day Rule) | Blue Sky Breakout: Base (71.53) and AVWAP (70.96) converge within 0.8%. Trend: Uptrend. RVOL: 2.30x. Clear path above with SMA20 support and volume confirmation.,1.204882572804561,10214.99624164367,500.0,Other,0,RED,,,,
TMUS,2021-05-07,2021-05-10,134.9909892325973,131.81272067375184,39.0,39.0,-123.95247379497238,-2.354430156348513,STOP_LOSS | Blue Sky Breakout: Base (134.27) and AVWAP (134.17) converge within 0.1%. Trend: Uptrend. RVOL: 2.32x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,False,False,100.0,3.1782685588454456,2.328799962993652,FULL,131.81272067375184,1.8374313695739943,3799160,Uptrend,0,0,2.3201500801357327,False,STOP_LOSS | Blue Sky Breakout: Base (134.27) and AVWAP (134.17) converge within 0.1%. Trend: Uptrend. RVOL: 2.32x. Clear path above with SMA20 support and volume confirmation.,-2.354430156348513,5264.648580071294,500.0,Other,0,RED,,,,
DOV,2021-04-21,2021-05-11,139.03933003468902,141.39491271972656,24.0,77.0,220.14862429214136,1.694184432886616,TIME_EXPIRATION (10-Day Rule) | Blue Sky Breakout: Base (138.30) and AVWAP (136.38) converge within 1.4%. Trend: Uptrend. RVOL: 2.17x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,31.16883116883117,2.825020497547712,2.030686985200859,FULL,136.2143095371413,1.5489463513871968,651770,Weak,0,0,2.173800636644206,True,TIME_EXPIRATION (10-Day Rule) | Blue Sky Breakout: Base (138.30) and AVWAP (136.38) converge within 1.4%. Trend: Uptrend. RVOL: 2.17x. Clear path above with SMA20 support and volume confirmation.,1.694184432886616,3336.9439208325366,500.0,Other,0,RED,,,,
STX,2021-04-23,2021-05-11,73.52574544807291,75.12164306640625,44.0,142.0,313.34877487774605,2.1705289876461458,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (73.11) and AVWAP (72.26) converge within 1.2%. Trend: Uptrend. RVOL: 1.71x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,True,30.985915492957744,2.02364216594421,1.6681128042181748,FULL,71.5021032821287,2.252645783430735,2777525,Weak,0,0,1.710525321953246,True,FASE_3_MA20_BREACH | Blue Sky Breakout: Base (73.11) and AVWAP (72.26) converge within 1.2%. Trend: Uptrend. RVOL: 1.71x. Clear path above with SMA20 support and volume confirmation.,2.1705289876461458,3235.132799715208,500.0,Other,0,RED,,,,
ORLY,2021-04-30,2021-05-11,36.73677162551879,36.73677162551879,231.0,385.0,91.46055793762208,0.0,STOP_LOSS | Blue Sky Breakout: Base (36.50) and AVWAP (36.48) converge within 0.1%. Trend: Uptrend. RVOL: 1.74x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.0,0.7929622614670748,0.5938997268676758,FULL,35.94380936405172,1.6524844648583052,6923550,Weak,0,0,1.7448485580353712,True,STOP_LOSS | Blue Sky Breakout: Base (36.50) and AVWAP (36.48) converge within 0.1%. Trend: Uptrend. RVOL: 1.74x. Clear path above with SMA20 support and volume confirmation.,0.0,8486.19424549484,500.0,Other,0,RED,,,,
PNC,2021-05-05,2021-05-11,164.75310512154363,164.75310512154363,48.0,80.0,102.6695448920318,0.0,STOP_LOSS | Blue Sky Breakout: Base (163.88) and AVWAP (163.60) converge within 0.2%. Trend: Uptrend. RVOL: 1.55x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.0,4.2281221724388445,3.208423277875992,FULL,160.5249829491048,2.051079657400441,1806585,Weak,0,0,1.5522649023164192,True,STOP_LOSS | Blue Sky Breakout: Base (163.88) and AVWAP (163.60) converge within 0.2%. Trend: Uptrend. RVOL: 1.55x. Clear path above with SMA20 support and volume confirmation.,0.0,7908.149045834096,500.0,Other,0,RED,,,,
LHX,2021-05-05,2021-05-11,197.94709524895416,197.01218060596756,50.0,83.0,52.8909428624668,-0.4723053105734293,STOP_LOSS | Blue Sky Breakout: Base (196.91) and AVWAP (196.50) converge within 0.2%. Trend: Uptrend. RVOL: 1.82x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.24096385542169,4.074870805355516,3.01929318217574,FULL,193.87222444359867,1.5548051150722375,989895,Uptrend,0,0,1.8195491077723287,True,STOP_LOSS | Blue Sky Breakout: Base (196.91) and AVWAP (196.50) converge within 0.2%. Trend: Uptrend. RVOL: 1.82x. Clear path above with SMA20 support and volume confirmation.,-0.4723053105734293,9897.354762447709,500.0,Other,0,RED,,,,
FCX,2021-05-06,2021-05-11,39.39831571787398,38.96471243571962,16.792,27.792,14.294110695746216,-1.1005629917261766,STOP_LOSS | Blue Sky Breakout: Base (39.15) and AVWAP (38.96) converge within 0.5%. Trend: Uptrend. RVOL: 1.81x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.42026482440991,1.9613797281529275,1.5384749690150288,FULL,37.43693598972105,4.396130313732938,21639950,Uptrend,0,0,1.805547429377715,True,STOP_LOSS | Blue Sky Breakout: Base (39.15) and AVWAP (38.96) converge within 0.5%. Trend: Uptrend. RVOL: 1.81x. Clear path above with SMA20 support and volume confirmation.,-1.1005629917261766,661.5765175345399,500.0,Materials,0,RED,,9.639606145563896,1.0,Moderate (5-10%)
AJG,2021-05-07,2021-05-11,142.9855263646432,142.9855263646432,26.0,43.0,42.07335559741952,0.0,STOP_LOSS | Blue Sky Breakout: Base (142.22) and AVWAP (141.69) converge within 0.4%. Trend: Uptrend. RVOL: 1.58x. Clear path above with SMA20 support and volume confirmation.,BLUE_SKY,True,False,60.46511627906976,2.4749032704364424,2.1552570385124725,FULL,140.51062309420675,1.549501305151273,704810,Weak,0,0,1.5778669336541025,True,STOP_LOSS | Blue Sky Breakout: Base (142.22) and AVWAP (141.69) converge within 0.4%. Trend: Uptrend. RVOL: 1.58x. Clear path above with SMA20 support and volume confirmation.,0.0,3717.623685480723,500.0,Other,0,RED,,,,
